# List of international goals scored by Franz Beckenbauer
No.,Date,Venue,Opponent,Score,Result,Competition
1,23 March 1966,"Rotterdam, Netherlands",Netherlands,3–1,4–2,Friendly
2,23 March 1966,"Rotterdam, Netherlands",Netherlands,4–2,4–2,Friendly
3,4 May 1966,"Dublin, Republic of Ireland",Republic of Ireland,2–0,4–0,Friendly
4,12 July 1966,"Sheffield, England",Switzerland,3–0,5–0,FIFA World Cup 1966
5,12 July 1966,"Sheffield, England",Switzerland,4–0,5–0,FIFA World Cup 1966
6,23 July 1966,"Sheffield, England",Uruguay,2–0,4–0,FIFA World Cup 1966
7,25 July 1966,"Liverpool, England",Soviet Union,2–0,2–1,FIFA World Cup 1966
8,1 June 1968,"Hanover, West Germany",England,1–0,1–0,Friendly
9,14 June 1970,"León, Mexico",England,1–2,3–2 (a.e.t.),FIFA World Cup 1970
10,22 November 1970,"Athens, Greece",Greece,3–1,3–1,Friendly
11,22 June 1971,"Oslo, Norway",Norway,3–0,7–1,Friendly
12,30 June 1971,"Copenhagen, Denmark",Denmark,3–1,3–1,Friendly
13,12 May 1973,"Hamburg, West Germany",Bulgaria,1–0,3–0,Friendly
14,6 October 1976,"Cardiff, Wales",Wales,1–0,2–0,Friendly
