# List of international goals scored by Roberto Carlos
No.,Date,Venue,Opponent,Score,Result,Competition
1,6 June 1995,"Goodison Park, Liverpool, England",Japan,3–0,3–0,Umbro Cup
2,3 June 1997,"Stade de Gerland, Lyon, France",France,1–0,1–1,1997 Tournoi de France
3,26 June 1999,"Arena da Baixada, Curitiba, Brazil",Latvia,2–0,3–0,International friendly
4,9 October 1999,"Amsterdam Arena, Amsterdam, Netherlands",Netherlands,1–0,2–2,International friendly
5,9 August 2001,"Arena da Baixada, Curitiba, Brazil",Panama,5–0,5–0,International friendly
6,8 June 2002,"Jeju World Cup Stadium, Seogwipo, South Korea",China,1–0,4–0,2002 FIFA World Cup
7,12 October 2003,"Walkers Stadium, Leicester, England",Jamaica,1–0,1–0,International friendly
8,9 February 2005,"Hong Kong Stadium, Hong Kong, Hong Kong",Hong Kong,2–0,7–1,2005 Carlsberg Cup
9,8 June 2005,"El Monumental, Buenos Aires, Argentina",Argentina,1–3,1–3,2006 World Cup qualifying
10,12 October 2005,"Mangueirão, Belém, Brazil",Venezuela,2–0,3–0,2006 World Cup qualifying
