# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National Cup Apps,National Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Guará,1997,—,–,–,1,0,–,–,,,1,0
Internacional,1998,Série A,10,0,0,0,–,–,,,10,0
Internacional,1999,Série A,19,2,2,0,–,–,,,21,2
Internacional,2000,Série A,16,3,4,0,–,–,4,,24,3
Internacional,Total,Total,45,5,6,0,0,0,4,0,55,5
Bayer Leverkusen,2000–01,Bundesliga,15,5,0,0,0,0,0,0,15,5
Bayer Leverkusen,2001–02,Bundesliga,29,4,4,1,18,3,0,0,51,8
Bayer Leverkusen,2002–03,Bundesliga,21,3,1,1,6,0,0,0,28,4
Bayer Leverkusen,2003–04,Bundesliga,27,3,1,1,–,–,–,–,28,4
Bayer Leverkusen,Total,Total,92,15,6,3,24,3,0,0,122,21
Bayer Leverkusen II,2002–03,Regionalliga Nord,1,0,0,0,–,–,–,–,1,0
Bayern Munich,2004–05,Bundesliga,32,3,6,0,9,0,1,0,48,3
Bayern Munich,2005–06,Bundesliga,30,2,5,0,7,0,1,0,43,2
Bayern Munich,2006–07,Bundesliga,26,0,2,0,8,2,1,0,37,2
Bayern Munich,2007–08,Bundesliga,24,1,6,0,13,2,3,0,46,3
Bayern Munich,2008–09,Bundesliga,32,1,4,1,8,0,—,—,44,2
Bayern Munich,Total,Total,144,7,23,1,45,4,6,0,218,12
Inter Milan,2009–10,Serie A,31,1,4,1,12,0,1,0,48,2
Inter Milan,2010–11,Serie A,31,1,4,0,8,0,4,0,47,1
Inter Milan,2011–12,Serie A,34,1,0,0,7,1,0,0,41,2
Inter Milan,Total,Total,96,3,8,1,30,1,2,0,136,5
Juventus,2012–13,Serie A,1,0,0,0,2,0,1,0,4,0
São Paulo,2013,Série A,10,1,0,0,8,0,13,1,31,2
Palmeiras,2014,Série A,25,2,7,0,—,—,15,0,47,2
Goa,2015,Indian Super League,11,0,—,—,—,—,3,0,14,0
Goa,2016,Indian Super League,5,0,—,—,—,—,—,—,5,0
Goa,Total,Total,16,0,—,—,—,—,3,0,19,0
Gama,2018,—,–,–,–,–,–,–,7,0,7,0
Brasiliense,2018,Série D,9,1,–,–,–,–,–,–,9,1
Brasiliense,2019,Série D,8,0,1,0,–,–,13,1,22,1
Brasiliense,Total,Total,17,1,1,0,0,0,13,1,31,2
Career total,Career total,Career total,447,34,52,5,109,8,64,2,672,49
