# List of international goals scored by Gianfranco Zola
No.,Date,Venue,Opponent,Score,Result,Competition
1,25 March 1995,"Stadio Arechi, Salerno, Italy",Estonia,1–0,4–1,UEFA Euro 1996 qualifying
2,25 March 1995,"Stadio Arechi, Salerno, Italy",Estonia,3–0,4–1,UEFA Euro 1996 qualifying
3,29 March 1995,"Republikan Stadium, Kyiv, Ukraine",Ukraine,2–0,2–0,UEFA Euro 1996 qualifying
4,26 April 1995,"Žalgiris Stadium, Vilnius, Lithuania",Lithuania,1–0,1–0,UEFA Euro 1996 qualifying
5,15 November 1995,"Stadio Giglio, Reggio Emilia, Italy",Lithuania,2–0,4–0,UEFA Euro 1996 qualifying
6,15 November 1995,"Stadio Giglio, Reggio Emilia, Italy",Lithuania,3–0,4–0,UEFA Euro 1996 qualifying
7,15 November 1995,"Stadio Giglio, Reggio Emilia, Italy",Lithuania,4–0,4–0,UEFA Euro 1996 qualifying
8,22 January 1997,"Stadio La Favorita, Palermo, Italy",Northern Ireland,1–0,2–0,Friendly
9,12 February 1997,"Wembley Stadium, London, England",England,1–0,1–0,1998 FIFA World Cup qualification
10,29 March 1997,"Stadio Nereo Rocco, Trieste, Italy",Moldova,2–0,3–0,1998 FIFA World Cup qualification
