# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Tottenham Hotspur,1971–72,First Division,0,0,0.0,0.0,0,0,1,0,–,–,1,0
Montreal Olympique,1972,NASL,10,2,,,–,–,–,–,–,–,10,2
Middlesbrough,1972–73,Second Division,9,0,,,,,–,–,–,–,9,0
Middlesbrough,1973–74,Second Division,35,7,,,,,–,–,–,–,35,7
Middlesbrough,1974–75,First Division,38,7,,,,,–,–,–,–,38,7
Middlesbrough,1975–76,First Division,35,3,,,,,–,–,–,–,35,3
Middlesbrough,1976–77,First Division,38,2,,,,,–,–,–,–,38,2
Middlesbrough,1977–78,First Division,19,3,,,,,–,–,–,–,19,3
Middlesbrough,Total,Total,176,22,13.0,1.0,12,0,–,–,–,–,201,23
Liverpool,1977–78,First Division,15,2,0.0,0.0,0,0,3,0,–,–,18,2
Liverpool,1978–79,First Division,41,8,7.0,1.0,1,0,2,0,2,0,53,9
Liverpool,1979–80,First Division,41,1,8.0,1.0,7,0,2,0,1,0,59,2
Liverpool,1980–81,First Division,37,6,1.0,0.0,8,1,8,6,1,0,55,13
Liverpool,1981–82,First Division,35,5,3.0,0.0,9,1,6,0,1,0,54,6
Liverpool,1982–83,First Division,41,9,3.0,0.0,8,2,6,0,1,0,59,11
Liverpool,1983–84,First Division,37,7,2.0,0.0,12,5,9,0,1,0,61,12
Liverpool,Total,Total,247,38,24.0,2.0,46,9,35,6,7,0,354,55
Sampdoria,1984–85,Serie A,28,5,12.0,1.0,–,–,–,–,–,–,40,6
Sampdoria,1985–86,Serie A,28,3,6.0,2.0,–,–,4,0,–,–,38,5
Sampdoria,Total,Total,56,8,18.0,3.0,–,–,4,0,–,–,78,11
Rangers,1986–87,Scottish Premier Division,25,1,1.0,0.0,3,2,3,0,–,–,32,3
Rangers,1987–88,Scottish Premier Division,18,2,3.0,0.0,3,0,6,0,–,–,30,2
Rangers,1988–89,Scottish Premier Division,6,0,1.0,0.0,3,0,0,0,–,–,10,0
Rangers,1989–90,Scottish Premier Division,1,0,0.0,0.0,0,0,0,0,–,–,1,0
Rangers,Total,Total,50,3,5.0,0.0,9,2,9,0,–,–,73,5
Career total,Career total,Career total,537,73,60.0,6.0,67,11,49,6,7,0,706,96
