# List of international goals scored by Ole Gunnar Solskjær
No.,Date,Venue,Opponent,Score,Result,Competition
1,26 November 1995,"Kingston, Jamaica",Jamaica,1–0,1–1,Friendly
2,27 March 1996,"Windsor Park, Belfast, Northern Ireland",Northern Ireland,1–0,2–0,Friendly
3,2 June 1996,"Ullevaal Stadion, Oslo, Norway",Azerbaijan,2–0,5–0,1998 FIFA World Cup qualification
4,2 June 1996,"Ullevaal Stadion, Oslo, Norway",Azerbaijan,5–0,5–0,1998 FIFA World Cup qualification
5,30 April 1997,"Ullevaal Stadion, Oslo, Norway",Finland,1–1,1–1,1998 FIFA World Cup qualification
6,25 March 1998,"King Baudouin Stadium, Brussels, Belgium",Belgium,2–2,2–2,Friendly
7,27 May 1998,"Molde Stadion, Molde, Norway",Saudi Arabia,2–0,6–0,Friendly
8,27 May 1998,"Molde Stadion, Molde, Norway",Saudi Arabia,3–0,6–0,Friendly
9,27 March 1999,"Olympic Stadium, Athens, Greece",Greece,1–0,2–0,UEFA Euro 2000 qualification
10,27 March 1999,"Olympic Stadium, Athens, Greece",Greece,2–0,2–0,UEFA Euro 2000 qualification
11,28 April 1999,"Boris Paichadze National Stadium, Tbilisi, Georgia",Georgia,3–0,4–1,UEFA Euro 2000 qualification
12,8 September 1999,"Ullevaal Stadion, Oslo, Norway",Slovenia,3–0,4–0,UEFA Euro 2000 qualification
13,9 October 1999,"Daugava Stadium, Riga, Latvia",Latvia,1–0,2–1,UEFA Euro 2000 qualification
14,27 May 2000,"Ullevaal Stadion, Oslo, Norway",Slovakia,1–0,2–0,Friendly
15,24 March 2001,"Ullevaal Stadion, Oslo, Norway",Poland,2–2,2–3,2002 FIFA World Cup qualification
16,28 March 2001,"Dinamo Stadium, Minsk, Belarus",Belarus,1–1,1–2,2002 FIFA World Cup qualification
17,15 August 2001,"Ullevaal Stadion, Oslo, Norway",Turkey,1–0,1–1,Friendly
18,14 May 2002,"Ullevaal Stadion, Oslo, Norway",Japan,3–0,3–0,Friendly
19,22 May 2002,"Aspmyra Stadion, Bodø, Norway",Iceland,1–1,1–1,Friendly
20,2 April 2003,"Stade Josy Barthel, Luxembourg City, Luxembourg",Luxembourg,2–0,2–0,UEFA Euro 2004 qualification
21,11 June 2003,"Ullevaal Stadion, Oslo, Norway",Romania,1–1,1–1,UEFA Euro 2004 qualification
22,2 September 2006,"Szusza Ferenc Stadion, Budapest, Hungary",Hungary,1–0,4–1,UEFA Euro 2008 qualification
23,2 September 2006,"Szusza Ferenc Stadion, Budapest, Hungary",Hungary,4–0,4–1,UEFA Euro 2008 qualification
