# List of international goals scored by Teddy Sheringham
No.,Date,Venue,Cap,Opponent,Score,Result,Competition
1,8 June 1995,"Elland Road, Leeds, United Kingdom",8,Sweden,1–2,3–3,Umbro Cup
2,15 November 1995,"Wembley Stadium, London, United Kingdom",12,Switzerland,2–0,3–1,Friendly
3,18 June 1996,"Wembley Stadium, London, United Kingdom",18,Netherlands,2–0,4–1,UEFA Euro 1996
4,18 June 1996,"Wembley Stadium, London, United Kingdom",18,Netherlands,4–0,4–1,UEFA Euro 1996
5,9 November 1996,"Boris Paichadze Stadium, Tbilisi, Georgia",21,Georgia,1–0,2–0,1998 FIFA World Cup qualification
6,29 March 1997,"Wembley Stadium, London, United Kingdom",22,Mexico,1–0,2–0,Friendly
7,30 April 1997,"Wembley Stadium, London, United Kingdom",23,Georgia,1–0,2–0,1998 FIFA World Cup qualification
8,31 May 1997,"Stadion Śląski, Chorzów, Poland",25,Poland,2–0,2–0,1998 FIFA World Cup qualification
9,22 April 1998,"Wembley Stadium, London, United Kingdom",32,Portugal,2–0,3–0,Friendly
10,25 May 2001,"Pride Park, Derby, United Kingdom",41,Mexico,4–0,4–0,Friendly
11,6 October 2001,"Old Trafford, Manchester, United Kingdom",42,Greece,1–1,2–2,2002 FIFA World Cup qualification
