# List of international goals scored by Paul Scholes
No.,Date,Venue,Cap,Opponent,Score,Result,Competition,Ref.
1,4 June 1997,"Stade de la Beaujoire, Nantes, France",2,Italy,2–0,2–0,1997 Tournoi de France,
2,10 September 1997,"Wembley Stadium, London, England",4,Moldova,1–0,4–0,1998 FIFA World Cup qualification,
3,15 November 1997,"Wembley Stadium, London, England",5,Cameroon,1–0,2–0,Friendly,
4,15 June 1998,"Stade Vélodrome, Marseille, France",8,Tunisia,2–0,2–0,1998 FIFA World Cup,
5,27 March 1999,"Wembley Stadium, London, England",16,Poland,1–0,3–1,UEFA Euro 2000 qualifying,
6,27 March 1999,"Wembley Stadium, London, England",16,Poland,2–0,3–1,UEFA Euro 2000 qualifying,
7,27 March 1999,"Wembley Stadium, London, England",16,Poland,3–1,3–1,UEFA Euro 2000 qualifying,
8,13 November 1999,"Hampden Park, Glasgow, Scotland",19,Scotland,1–0,2–0,UEFA Euro 2000 qualifying,
9,13 November 1999,"Hampden Park, Glasgow, Scotland",19,Scotland,2–0,2–0,UEFA Euro 2000 qualifying,
10,12 June 2000,"Philips Stadion, Eindhoven, Netherlands",25,Portugal,1–0,2–3,UEFA Euro 2000,
11,28 March 2001,"Qemal Stafa Stadium, Tirana, Albania",33,Albania,2–0,3–1,2002 FIFA World Cup qualification,
12,25 May 2001,"Pride Park Stadium, Derby, England",34,Mexico,1–0,4–0,Friendly,
13,6 June 2001,"Olympic Stadium, Athens, Greece",35,Greece,1–0,2–0,2002 FIFA World Cup qualification,
14,21 June 2004,"Estádio da Luz, Lisbon, Portugal",65,Croatia,1–1,4–2,UEFA Euro 2004,
