# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Scottish Cup Apps,Scottish Cup Goals,League Cup Apps,League Cup Goals,Europe Apps,Europe Goals,Total Apps,Total Goals
Celtic,1981–82,Scottish Premier Division,10,1,2,0,0,0,0,0,12,1
Celtic,1982–83,Scottish Premier Division,36,6,4,0,9,1,4,0,53,7
Celtic,1983–84,Scottish Premier Division,34,3,5,2,8,2,6,0,53,7
Celtic,1984–85,Scottish Premier Division,32,4,7,3,2,0,5,1,46,8
Celtic,1985–86,Scottish Premier Division,34,8,2,0,2,1,2,0,40,9
Celtic,1986–87,Scottish Premier Division,43,3,4,0,5,1,4,0,56,4
Celtic,1987–88,Scottish Premier Division,44,5,6,0,2,0,2,0,54,5
Celtic,1988–89,Scottish Premier Division,33,5,5,0,3,0,4,0,45,5
Celtic,1989–90,Scottish Premier Division,35,3,6,1,4,1,2,0,47,5
Celtic,1990–91,Scottish Premier Division,30,2,5,0,5,1,–,–,40,3
Celtic,1991–92,Scottish Premier Division,32,7,4,0,0,0,2,0,38,7
Celtic,1992–93,Scottish Premier Division,43,4,3,0,3,0,4,1,53,5
Celtic,1993–94,Scottish Premier Division,35,2,1,0,4,0,4,0,44,2
Celtic,1994–95,Scottish Premier Division,29,1,4,0,5,0,–,–,38,1
Celtic,1995–96,Scottish Premier Division,30,2,4,0,1,0,3,0,38,2
Celtic,1996–97,Scottish Premier Division,15,1,4,0,1,0,1,0,21,1
Career total,Career total,Career total,515,57,66,6,54,7,43,2,678,72
