# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Inter Milan,1960–61,Serie A,1,1,0,0,0,0,—,—,1,1
Inter Milan,1961–62,Serie A,1,0,0,0,0,0,—,—,1,0
Inter Milan,1962–63,Serie A,23,10,1,1,—,—,—,—,24,11
Inter Milan,1963–64,Serie A,30,9,0,0,9,7,—,—,39,16
Inter Milan,1964–65,Serie A,33,17,2,0,6,3,2,1,43,21
Inter Milan,1965–66,Serie A,30,19,1,0,4,1,2,2,37,22
Inter Milan,1966–67,Serie A,30,17,2,2,10,3,—,—,42,22
Inter Milan,1967–68,Serie A,28,6,9,2,—,—,—,—,37,8
Inter Milan,1968–69,Serie A,29,7,3,0,—,—,—,—,32,7
Inter Milan,1969–70,Serie A,28,4,5,1,10,1,—,—,43,6
Inter Milan,1970–71,Serie A,29,7,3,2,1,0,3,1,36,10
Inter Milan,1971–72,Serie A,28,7,9,2,9,2,—,—,46,11
Inter Milan,1972–73,Serie A,26,2,9,4,6,0,—,—,41,6
Inter Milan,1973–74,Serie A,26,4,10,3,2,0,—,—,38,7
Inter Milan,1974–75,Serie A,23,3,7,0,4,0,—,—,34,3
Inter Milan,1975–76,Serie A,25,2,10,4,—,—,—,—,35,6
Inter Milan,1976–77,Serie A,28,1,9,3,2,0,—,—,39,4
Inter Milan,Total,Total,418,116,80,14,63,17,7,4,568,161
Career total,Career total,Career total,418,116,80,14,63,17,7,4,568,161
