# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
RKC Waalwijk (loan),1993–94,Eredivisie,12,2,,,—,—,—,—,—,—,12,2
Feyenoord,1994–95,Eredivisie,10,1,,,—,—,—,—,—,—,10,1
Feyenoord,1995–96,Eredivisie,27,9,,,—,—,7,0,1,0,35,9
Feyenoord,1996–97,Eredivisie,34,4,1.0,1.0,—,—,6,0,—,—,41,5
Feyenoord,1997–98,Eredivisie,32,8,,,—,—,8,2,—,—,40,10
Feyenoord,Total,Total,103,22,1.0,1.0,—,—,21,2,1,0,126,25
Rangers,1998–99,Scottish Premier League,35,7,5.0,1.0,4,0,9,2,—,—,53,10
Rangers,1999–2000,Scottish Premier League,27,4,5.0,2.0,1,0,12,0,—,—,45,6
Rangers,2000–01,Scottish Premier League,11,2,0.0,0.0,1,1,7,3,—,—,19,6
Rangers,Total,Total,73,13,10.0,3.0,6,1,28,5,—,—,117,22
Arsenal,2001–02,Premier League,21,1,2.0,0.0,3,0,7,0,—,—,33,1
Arsenal,2002–03,Premier League,20,1,5.0,0.0,1,0,4,0,—,—,30,1
Arsenal,2003–04,Premier League,0,0,0.0,0.0,0,0,0,0,1,0,1,0
Arsenal,Total,Total,41,2,7.0,0.0,4,0,11,0,1,0,64,2
Barcelona (loan),2003–04,La Liga,34,1,5.0,0.0,—,—,4,0,—,—,43,1
Barcelona,2004–05,La Liga,29,4,1.0,0.0,—,—,8,0,—,—,38,4
Barcelona,2005–06,La Liga,19,0,4.0,1.0,—,—,13,0,—,—,36,1
Barcelona,2006–07,La Liga,23,0,6.0,1.0,—,—,6,0,3,0,38,1
Barcelona,Total,Total,105,5,16.0,2.0,—,—,31,0,3,0,155,7
Feyenoord,2007–08,Eredivisie,32,7,6.0,0.0,—,—,—,—,—,—,38,7
Feyenoord,2008–09,Eredivisie,27,1,5.0,0.0,—,—,5,1,3,0,40,2
Feyenoord,2009–10,Eredivisie,29,0,4.0,2.0,—,—,—,—,—,—,33,2
Feyenoord,Total,Total,88,8,15.0,2.0,—,—,5,1,3,0,111,11
Career total,Career total,Career total,422,52,49.0,8.0,10,1,96,8,8,0,585,69
