# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Ajax,1994–95,Eredivisie,25,18,1,1,10,2,1,1,37,22
Ajax,1995–96,Eredivisie,28,15,2,1,8,5,4,2,42,23
Ajax,1996–97,Eredivisie,17,6,1,0,4,2,—,—,22,8
Ajax,Total,Total,70,39,4,2,22,9,5,3,101,53
Milan,1997–98,Serie A,27,6,6,3,—,—,—,—,33,9
Barcelona,1998–99,La Liga,35,15,3,1,—,—,—,—,38,16
Barcelona,1999–2000,La Liga,26,15,2,1,14,7,2,2,44,25
Barcelona,2000–01,La Liga,31,18,5,2,12,5,—,—,48,25
Barcelona,2001–02,La Liga,33,18,0,0,17,7,—,—,50,25
Barcelona,2002–03,La Liga,36,16,0,0,15,5,—,—,51,21
Barcelona,2003–04,La Liga,21,8,2,0,3,2,—,—,26,10
Barcelona,Total,Total,182,90,12,4,61,26,2,2,257,122
Newcastle United,2004–05,Premier League,25,6,6,2,6,5,—,—,37,13
Valencia,2005–06,La Liga,10,1,1,0,5,1,—,—,16,2
PSV,2006–07,Eredivisie,16,3,2,0,3,0,—,—,21,3
Lille,2007–08,Ligue 1,13,4,1,0,—,—,—,—,14,4
Career total,Career total,Career total,343,149,32,11,97,41,7,5,479,206
