# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
KB,1981,Danish 1st Division,14,3,,,–,–,2,0,–,–,16,3
Brøndby,1982,Danish 1st Division,24,15,,,–,–,–,–,–,–,24,15
Brøndby,1983,Danish 1st Division,14,8,,,–,–,–,–,–,–,14,8
Brøndby,Total,Total,38,23,,,–,–,–,–,–,–,38,23
Lazio,1983–84,Serie A,30,8,5.0,0.0,–,–,–,–,–,–,35,8
Lazio,1984–85,Serie A,30,1,5.0,3.0,–,–,–,–,–,–,35,4
Lazio,Total,Total,60,9,10.0,3.0,–,–,–,–,–,–,70,12
Juventus,1985–86,Serie A,29,7,6.0,2.0,–,–,6,2,1,1,42,12
Juventus,1986–87,Serie A,20,3,6.0,1.0,–,–,4,5,–,–,30,9
Juventus,1987–88,Serie A,28,0,7.0,2.0,–,–,4,2,–,–,39,4
Juventus,1988–89,Serie A,26,6,7.0,2.0,–,–,8,3,–,–,41,11
Juventus,Total,Total,103,16,26.0,7.0,–,–,22,12,1,1,152,36
Barcelona,1989–90,La Liga,33,3,7.0,2.0,–,–,3,1,1,0,44,6
Barcelona,1990–91,La Liga,30,9,5.0,2.0,–,–,7,0,1,0,43,11
Barcelona,1991–92,La Liga,36,13,2.0,2.0,–,–,11,3,1,0,50,18
Barcelona,1992–93,La Liga,37,10,4.0,4.0,–,–,4,0,4,0,49,14
Barcelona,1993–94,La Liga,31,5,1.0,0.0,–,–,6,1,2,0,40,6
Barcelona,Total,Total,167,40,19.0,10.0,–,–,31,5,9,0,226,55
Real Madrid,1994–95,La Liga,33,4,2.0,1.0,–,–,5,2,–,–,40,7
Real Madrid,1995–96,La Liga,29,8,0.0,0.0,–,–,7,0,1,0,36,8
Real Madrid,Total,Total,62,12,2.0,1.0,–,–,12,2,1,0,77,15
Vissel Kobe,1996,Football League,12,5,3.0,2.0,–,–,–,–,–,–,15,7
Vissel Kobe,1997,J1 League,3,0,0.0,0.0,6,1,–,–,–,–,9,1
Vissel Kobe,Total,Total,15,5,3.0,2.0,6,1,–,–,–,–,24,8
Ajax,1997–98,Eredivisie,21,11,4.0,0.0,–,–,5,2,–,–,30,13
Career total,Career total,Career total,479,119,64.0,23.0,6,1,72,21,11,1,632,165
