# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Boca Juniors,2001–02,Argentine Primera División,11,1,—,—,—,—,4,1,—,—,15,2
Boca Juniors,2002–03,Argentine Primera División,32,11,—,—,—,—,9,5,—,—,41,16
Boca Juniors,2003–04,Argentine Primera División,23,12,—,—,—,—,14,3,1,0,38,15
Boca Juniors,2004–05,Argentine Primera División,9,2,—,—,–,–,6,2,1,1,16,5
Boca Juniors,Total,Total,75,26,—,—,—,—,33,11,2,1,110,38
Corinthians,2005,Série A,29,20,6,4,—,—,4,0,13,7,52,31
Corinthians,2006,Série A,9,5,0,0,—,—,8,4,7,6,24,15
Corinthians,Total,Total,38,25,6,4,—,—,12,4,20,13,76,46
West Ham United,2006–07,Premier League,26,7,1,0,0,0,2,0,—,—,29,7
Manchester United (loan),2007–08,Premier League,34,14,2,1,0,0,12,4,0,0,48,19
Manchester United (loan),2008–09,Premier League,29,5,3,2,6,6,9,2,4,0,51,15
Manchester United (loan),Total,Total,63,19,5,3,6,6,21,6,4,0,99,34
Manchester City,2009–10,Premier League,35,23,1,0,6,6,—,—,—,—,42,29
Manchester City,2010–11,Premier League,31,20,6,3,0,0,7,0,—,—,44,23
Manchester City,2011–12,Premier League,13,4,0,0,1,0,1,0,0,0,15,4
Manchester City,2012–13,Premier League,34,11,6,5,1,0,5,0,1,1,47,17
Manchester City,Total,Total,113,58,13,8,8,6,13,0,1,1,148,73
Juventus,2013–14,Serie A,34,19,1,0,—,—,12,1,1,1,48,21
Juventus,2014–15,Serie A,32,20,1,0,—,—,13,7,1,2,47,29
Juventus,Total,Total,66,39,2,0,—,—,25,8,2,3,95,50
Boca Juniors,2015,Argentine Primera División,12,5,5,4,—,—,—,—,—,—,17,9
Boca Juniors,2016,Argentine Primera División,11,4,4,2,—,—,12,5,1,0,28,11
Boca Juniors,2016–17,Argentine Primera División,11,5,—,—,—,—,—,—,—,—,11,5
Boca Juniors,Total,Total,34,14,9,6,—,—,12,5,1,0,56,25
Shanghai Shenhua,2017,Chinese Super League,16,4,3,0,—,—,1,0,—,—,20,4
Boca Juniors,2017–18,Argentine Primera División,10,3,—,—,—,—,5,2,1,0,16,5
Boca Juniors,2018–19,Argentine Primera División,21,5,3,1,6,0,10,2,1,0,41,8
Boca Juniors,2019–20,Argentine Primera División,17,9,1,0,—,—,5,0,—,—,23,9
Boca Juniors,2020–21,Copa de la Liga Profesional,18,5,0,0,—,—,15,4,0,0,33,9
Boca Juniors,Total,Total,66,22,4,1,6,0,35,8,2,0,113,31
Boca Juniors,Boca Juniors total,Boca Juniors total,175,62,13,7,6,0,80,24,5,1,279,94
Boca Juniors,Career total,Career total,497,214,43,22,20,12,154,42,32,18,746,308
