# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Cúcuta Deportivo,1988,Categoría Primera A,36,17,—,—,—,—,—,—,36,17
Atlético Nacional,1989,Categoría Primera A,15,7,1,2,—,—,—,—,16,9
Atlético Nacional,1990,Categoría Primera A,20,9,—,—,2,0,—,—,22,9
Atlético Nacional,1991,Categoría Primera A,34,12,—,—,5,0,—,—,39,12
Atlético Nacional,1992,Categoría Primera A,6,4,—,—,7,3,—,—,13,7
Atlético Nacional,Total,Total,75,32,1,2,14,3,0,0,90,37
Parma,1992–93,Serie A,26,7,7,1,6,4,—,—,39,12
Parma,1993–94,Serie A,27,10,7,4,10,2,—,—,44,16
Parma,1994–95,Serie A,25,6,8,0,8,4,—,—,41,10
Parma,1995–96,Serie A,6,2,0,0,0,0,—,—,6,2
Parma,Total,Total,84,25,22,5,24,10,0,0,130,40
Newcastle United,1995–96,Premier League,14,3,1,0,0,0,0,0,15,3
Newcastle United,1996–97,Premier League,24,4,0,0,6,5,0,0,30,9
Newcastle United,1997–98,Premier League,10,2,1,0,5,4,0,0,16,6
Newcastle United,Total,Total,48,9,2,0,11,9,0,0,61,18
Parma,1997–98,Serie A,4,0,0,0,0,0,—,—,4,0
Parma,1998–99,Serie A,8,1,3,2,5,0,—,—,16,3
Parma,Total,Total,12,1,3,2,5,0,0,0,20,3
Palmeiras,1999,Série A,6,2,—,—,1,0,—,—,7,2
Palmeiras,2000,Série A,6,0,—,—,8,1,—,—,14,1
Palmeiras,Total,Total,12,2,0,0,9,1,0,0,21,3
Fluminense,2000,Série A,2,0,—,—,—,—,—,—,2,0
Fluminense,2001,Série A,10,8,—,—,—,—,—,—,10,8
Fluminense,Total,Total,12,8,0,0,0,0,0,0,12,8
Atlante,2001–02,Liga MX,12,3,—,—,—,—,—,—,12,3
Atlético Nacional,2002,Categoría Primera A,11,3,—,—,,0,—,—,11,3
Universidad de Chile,2003,Chilean Primera División,13,5,—,—,—,—,—,—,13,5
Estudiantes La Plata,2003–04,Argentine Primera División,2,0,—,—,—,—,—,—,2,0
Cortuluá,2004,Categoría Primera A,1+,0,—,—,—,—,—,—,1,0
Career total,Career total,Career total,318,105,28,9,0,0,63,23,409,137
