# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Coppa Italia Apps,Coppa Italia Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Piacenza,1991–92,Serie B,2,0,1,0,—,—,—,—,3,0
Piacenza,1994–95,Serie B,37,15,4,2,—,—,—,—,41,17
Piacenza,Total,Total,39,15,5,2,—,—,—,—,44,17
Leffe (loan),1992–93,Serie C1,21,13,0,0,—,—,—,—,21,13
Verona (loan),1993–94,Serie B,36,13,1,1,—,—,—,—,37,14
Parma,1995–96,Serie A,15,2,1,0,6,2,—,—,22,4
Atalanta,1996–97,Serie A,33,24,1,1,—,—,—,—,34,25
Juventus,1997–98,Serie A,31,18,4,1,10,6,1,2,46,27
Juventus,1998–99,Serie A,28,13,1,0,10,6,3,1,42,20
Juventus,1999–2000,Serie A,33,15,2,1,8,10,—,—,43,26
Juventus,2000–01,Serie A,28,11,0,0,6,5,—,—,34,16
Juventus,Total,Total,120,57,7,2,34,27,4,3,165,89
AC Milan,2001–02,Serie A,20,10,1,2,7,4,—,—,28,16
AC Milan,2002–03,Serie A,30,17,3,1,16,12,—,—,49,30
AC Milan,2003–04,Serie A,14,3,3,2,8,2,3,0,28,7
AC Milan,2004–05,Serie A,11,0,2,0,2,1,—,—,15,1
AC Milan,2005–06,Serie A,23,12,2,1,6,4,—,—,31,17
AC Milan,2006–07,Serie A,20,2,5,3,12,6,—,—,37,11
AC Milan,2007–08,Serie A,21,11,0,0,5,4,3,3,29,18
AC Milan,2008–09,Serie A,26,13,0,0,6,3,—,—,32,16
AC Milan,2009–10,Serie A,24,2,2,1,7,2,—,—,33,5
AC Milan,2010–11,Serie A,6,2,0,0,3,2,—,—,9,4
AC Milan,2011–12,Serie A,7,1,2,0,0,0,—,—,9,1
AC Milan,Total,Total,202,73,20,10,72,40,6,3,300,126
Career total,Career total,Career total,466,197,35,16,112,69,10,6,623,288
