# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Atlético Madrid,2000–01,Segunda División,4,1,2,0,—,—,—,—,—,—,6,1
Atlético Madrid,2001–02,Segunda División,36,6,1,1,—,—,—,—,—,—,37,7
Atlético Madrid,2002–03,La Liga,29,13,3,1,—,—,—,—,—,—,32,14
Atlético Madrid,2003–04,La Liga,35,19,5,2,—,—,—,—,—,—,40,21
Atlético Madrid,2004–05,La Liga,38,16,6,2,—,—,5,2,—,—,49,20
Atlético Madrid,2005–06,La Liga,36,13,4,0,—,—,—,—,—,—,40,13
Atlético Madrid,2006–07,La Liga,36,14,4,1,—,—,—,—,—,—,40,15
Atlético Madrid,Total,Total,214,82,25,7,—,—,5,2,—,—,244,91
Liverpool,2007–08,Premier League,33,24,1,0,1,3,11,6,—,—,46,33
Liverpool,2008–09,Premier League,24,14,3,1,2,0,9,2,—,—,38,17
Liverpool,2009–10,Premier League,22,18,2,0,0,0,8,4,—,—,32,22
Liverpool,2010–11,Premier League,23,9,1,0,0,0,2,0,—,—,26,9
Liverpool,Total,Total,102,65,7,1,3,3,30,12,—,—,142,81
Chelsea,2010–11,Premier League,14,1,—,—,—,—,4,0,—,—,18,1
Chelsea,2011–12,Premier League,32,6,6,2,1,0,10,3,—,—,49,11
Chelsea,2012–13,Premier League,36,8,5,1,4,2,16,9,3,2,64,22
Chelsea,2013–14,Premier League,28,5,2,0,1,1,10,5,0,0,41,11
Chelsea,Total,Total,110,20,13,3,6,3,40,17,3,2,172,45
AC Milan (loan),2014–15,Serie A,10,1,—,—,—,—,—,—,—,—,10,1
Atlético Madrid (loan),2014–15,La Liga,19,3,4,3,—,—,3,0,—,—,26,6
Atlético Madrid (loan),2015–16,La Liga,30,11,2,0,—,—,12,1,—,—,44,12
Atlético Madrid,2016–17,La Liga,31,8,5,1,—,—,9,1,—,—,45,10
Atlético Madrid,2017–18,La Liga,27,5,6,3,—,—,12,2,—,—,45,10
Atlético Madrid,Total,Total,107,27,17,7,—,—,36,4,—,—,160,38
Sagan Tosu,2018,J1 League,17,3,2,1,0,0,—,—,—,—,19,4
Sagan Tosu,2019,J1 League,18,2,1,1,2,0,—,—,—,—,21,3
Sagan Tosu,Total,Total,35,5,3,2,2,0,—,—,—,—,40,7
Career total,Career total,Career total,578,200,65,20,11,6,111,35,3,2,768,263
