# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Southampton,2005–06,Championship,2,0,0,0,0,0,—,—,—,—,2,0
Southampton,2006–07,Championship,38,5,1,0,3,0,—,—,1,0,43,5
Southampton,Total,Total,40,5,1,0,3,0,—,—,1,0,45,5
Tottenham Hotspur,2007–08,Premier League,8,2,0,0,1,1,3,0,—,—,12,3
Tottenham Hotspur,2008–09,Premier League,16,0,2,0,5,0,7,0,—,—,30,0
Tottenham Hotspur,2009–10,Premier League,23,3,8,0,3,0,—,—,—,—,34,3
Tottenham Hotspur,2010–11,Premier League,30,7,0,0,0,0,11,4,—,—,41,11
Tottenham Hotspur,2011–12,Premier League,36,9,4,2,0,0,2,1,—,—,42,12
Tottenham Hotspur,2012–13,Premier League,33,21,2,1,1,1,8,3,—,—,44,26
Tottenham Hotspur,Total,Total,146,42,16,3,10,2,31,8,—,—,203,55
Real Madrid,2013–14,La Liga,27,15,5,1,—,—,12,6,—,—,44,22
Real Madrid,2014–15,La Liga,31,13,2,0,—,—,10,2,5,2,48,17
Real Madrid,2015–16,La Liga,23,19,0,0,—,—,8,0,—,—,31,19
Real Madrid,2016–17,La Liga,19,7,0,0,—,—,8,2,0,0,27,9
Real Madrid,2017–18,La Liga,26,16,2,1,—,—,7,3,4,1,39,21
Real Madrid,2018–19,La Liga,29,8,3,0,—,—,7,3,3,3,42,14
Real Madrid,2019–20,La Liga,16,2,1,1,—,—,3,0,0,0,20,3
Real Madrid,2021–22,La Liga,5,1,0,0,—,—,2,0,0,0,7,1
Real Madrid,Total,Total,176,81,13,3,—,—,57,16,12,6,258,106
Tottenham Hotspur (loan),2020–21,Premier League,20,11,2,1,2,1,10,3,—,—,34,16
Los Angeles FC,2022,MLS,12,2,—,—,—,—,—,—,1,1,13,3
Career total,Career total,Career total,394,141,32,7,15,3,98,27,14,7,553,185
