# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Liverpool,1990–91,First Division,2,0,1,0,0,0,0,0,0,0,3,0
Liverpool,1991–92,First Division,30,5,8,3,5,3,8,0,—,—,51,11
Liverpool,1992–93,Premier League,31,4,1,0,5,2,3,1,—,—,40,7
Liverpool,1993–94,Premier League,30,2,2,0,2,0,—,—,—,—,34,2
Liverpool,1994–95,Premier League,40,7,7,0,8,2,—,—,—,—,55,9
Liverpool,1995–96,Premier League,38,6,7,2,4,1,4,1,—,—,53,10
Liverpool,1996–97,Premier League,37,7,2,0,4,2,8,1,—,—,51,10
Liverpool,1997–98,Premier League,36,11,1,0,5,0,4,1,—,—,46,12
Liverpool,1998–99,Premier League,28,4,0,0,0,0,3,1,—,—,31,5
Liverpool,Total,Total,272,46,29,5,33,10,30,5,0,0,364,66
Real Madrid,1999–2000,La Liga,28,3,5,0,—,—,13,1,4,0,50,4
Real Madrid,2000–01,La Liga,28,2,0,0,—,—,11,0,1,0,40,2
Real Madrid,2001–02,La Liga,23,2,4,0,—,—,13,2,1,0,41,4
Real Madrid,2002–03,La Liga,15,1,6,1,—,—,6,2,0,0,27,4
Real Madrid,Total,Total,94,8,15,1,—,—,43,5,6,0,158,14
Manchester City,2003–04,Premier League,22,0,3,0,1,0,4,0,—,—,30,0
Manchester City,2004–05,Premier League,13,0,1,0,0,0,—,—,—,—,14,0
Manchester City,Total,Total,35,0,4,0,1,0,4,0,—,—,44,0
Career total,Career total,Career total,401,54,48,6,34,10,77,10,6,0,566,80
