# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Triestina,1952–53,Serie A,1,0,–,–,–,–,–,–,1,0
Triestina,1953–54,Serie A,31,0,–,–,–,–,–,–,31,0
Triestina,Total,Total,32,0,0,0,0,0,0,0,32,0
AC Milan,1954–55,Serie A,27,1,–,–,–,–,1,0,28,1
AC Milan,1955–56,Serie A,22,0,–,–,6,0,2,0,30,0
AC Milan,1956–57,Serie A,21,1,–,–,–,–,2,0,23,1
AC Milan,1957–58,Serie A,32,0,3,0,8,0,–,–,43,0
AC Milan,1958–59,Serie A,34,0,1,0,–,–,1,0,36,0
AC Milan,1959–60,Serie A,29,0,–,–,4,0,1,0,34,0
AC Milan,1960–61,Serie A,30,0,2,0,–,–,2,0,34,0
AC Milan,1961–62,Serie A,34,1,–,–,2,0,–,–,36,1
AC Milan,1962–63,Serie A,31,0,1,0,9,0,2,0,43,0
AC Milan,1963–64,Serie A,22,0,1,0,3,0,3,0,29,0
AC Milan,1964–65,Serie A,34,0,–,–,2,0,–,–,36,0
AC Milan,1965–66,Serie A,31,0,1,0,8,0,–,–,40,0
AC Milan,Total,Total,347,3,9,0,42,0,14,0,412,3
Torino,1966–67,Serie A,33,0,3,0,–,–,3,0,39,0
Career total,Career total,Career total,412,3,12,0,42,0,17,0,483,3
