# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Rosario Central,2005–06,Argentine Primera División,10,0,0,0,—,—,4,0,0,0,14,0
Rosario Central,2006–07,Argentine Primera División,25,6,0,0,—,—,0,0,0,0,25,6
Rosario Central,Total,Total,35,6,0,0,—,—,4,0,0,0,39,6
Benfica,2007–08,Primeira Liga,26,0,5,0,3,0,11,1,0,0,45,1
Benfica,2008–09,Primeira Liga,24,2,1,0,5,1,5,1,0,0,35,4
Benfica,2009–10,Primeira Liga,26,5,1,0,4,1,21,4,0,0,45,10
Benfica,Total,Total,76,7,7,0,12,2,30,6,0,0,125,15
Real Madrid,2010–11,La Liga,35,6,8,0,—,—,10,3,0,0,53,9
Real Madrid,2011–12,La Liga,23,5,0,0,—,—,7,2,2,0,32,7
Real Madrid,2012–13,La Liga,32,7,7,1,—,—,11,0,2,1,52,9
Real Madrid,2013–14,La Liga,34,4,7,4,—,—,11,3,0,0,52,11
Real Madrid,2014–15,La Liga,0,0,—,—,—,—,—,—,1,0,1,0
Real Madrid,Total,Total,124,22,22,5,—,—,39,8,5,1,190,36
Manchester United,2014–15,Premier League,27,3,5,1,0,0,—,—,—,—,32,4
Paris Saint-Germain,2015–16,Ligue 1,29,10,4,0,4,2,10,3,0,0,47,15
Paris Saint-Germain,2016–17,Ligue 1,29,6,3,1,3,3,7,4,1,0,43,14
Paris Saint-Germain,2017–18,Ligue 1,30,11,6,7,4,2,5,1,0,0,45,21
Paris Saint-Germain,2018–19,Ligue 1,30,12,4,3,2,0,8,2,1,2,45,19
Paris Saint-Germain,2019–20,Ligue 1,26,8,2,0,3,1,9,3,1,1,41,13
Paris Saint-Germain,2020–21,Ligue 1,27,4,5,0,—,—,10,1,1,0,43,5
Paris Saint-Germain,2021–22,Ligue 1,26,5,0,0,—,—,5,0,0,0,31,5
Paris Saint-Germain,Total,Total,197,56,24,11,16,8,54,14,4,3,295,92
Juventus,2022–23,Serie A,26,4,4,0,—,—,10,4,—,—,40,8
Benfica,2023–24,Primeira Liga,28,9,5,0,3,2,11,5,1,1,48,17
Benfica,2024–25,Primeira Liga,25,8,3,3,3,3,9,1,4,4,44,19
Benfica,Total,Total,53,17,8,3,6,5,20,6,5,5,92,36
Rosario Central,2025,Argentine Primera División,4,3,—,—,—,—,—,—,—,—,4,3
Career total,Career total,Career total,542,118,70,20,34,15,157,38,13,8,817,200
