# List of international goals scored by Marek Hamšík
No.,Date,Venue,Cap,Opponent,Score,Result,Competition
1,13 October 2007,"Mestský štadión, Dubnica nad Váhom, Slovakia",6,San Marino,1–0,7–0,UEFA Euro 2008 qualification
2,21 November 2007,"Stadio Olimpico, Serravalle, San Marino",9,San Marino,3–0,5–0,UEFA Euro 2008 qualification
3,6 September 2008,"Tehelné pole, Bratislava, Slovakia",15,Northern Ireland,2–0,2–1,2010 FIFA World Cup qualification
4,19 November 2008,"Štadión pod Dubňom, Žilina, Slovakia",18,Liechtenstein,1–0,4–0,Friendly
5,19 November 2008,"Štadión pod Dubňom, Žilina, Slovakia",18,Liechtenstein,2–0,4–0,Friendly
6,10 February 2009,"Tsirion Stadium, Limassol, Cyprus",19,Ukraine,2–2,2–3,Friendly
7,5 September 2009,"Tehelné pole, Bratislava, Slovakia",25,Czech Republic,2–1,2–2,2010 FIFA World Cup qualification
8,14 November 2009,"Tehelné pole, Bratislava, Slovakia",28,United States,1–0,1–0,Friendly
9,15 August 2012,"TRE-FOR Park, Odense, Denmark",55,Denmark,2–1,3–1,Friendly
10,12 October 2012,"Štadión Pasienky, Bratislava, Slovakia",58,Latvia,2–0,3–0,2014 FIFA World Cup qualification
11,10 September 2013,"Štadión pod Dubňom, Žilina, Slovakia",67,Bosnia and Herzegovina,1–0,1–2,2014 FIFA World Cup qualification
12,12 October 2014,"Borisov Arena, Barysaw, Belarus",73,Belarus,1–0,3–1,UEFA Euro 2016 qualification
13,12 October 2014,"Borisov Arena, Barysaw, Belarus",73,Belarus,2–1,3–1,UEFA Euro 2016 qualification
14,18 November 2014,"Štadión pod Dubňom, Žilina, Slovakia",75,Finland,2–0,2–1,Friendly
15,14 June 2015,"Štadión pod Dubňom, Žilina, Slovakia",78,FYR Macedonia,2–0,2–1,UEFA Euro 2016 qualification
16,12 October 2015,"Stade Josy Barthel, Route d'Arlon, Luxembourg",82,Luxembourg,1–0,4–2,UEFA Euro 2016 qualification
17,12 October 2015,"Stade Josy Barthel, Route d'Arlon, Luxembourg",82,Luxembourg,4–2,4–2,UEFA Euro 2016 qualification
18,29 May 2016,"WWK Arena, Augsburg, Germany",86,Germany,1–1,3–1,Friendly
19,15 June 2016,"Stade Pierre-Mauroy, Villeneuve-d'Ascq, France",89,Russia,2–0,2–1,UEFA Euro 2016
20,11 November 2016,"Štadión Antona Malatinského, Trnava, Slovakia",95,Lithuania,4–0,4–0,2018 FIFA World Cup qualification
21,10 June 2017,"LFF Stadium, Vilnius, Lithuania",97,Lithuania,2–0,2–1,2018 FIFA World Cup qualification
22,13 October 2018,"Štadión Antona Malatinského, Trnava, Slovakia",108,Czech Republic,1–1,1–2,2018–19 UEFA Nations League B
23,11 June 2019,"Bakcell Arena, Baku, Azerbaijan",114,Azerbaijan,3–1,5–1,UEFA Euro 2020 qualification
24,11 June 2019,"Bakcell Arena, Baku, Azerbaijan",114,Azerbaijan,4–1,5–1,UEFA Euro 2020 qualification
25,19 November 2019,"Štadión Antona Malatinského, Trnava, Slovakia",120,Azerbaijan,2–0,2–0,UEFA Euro 2020 qualification
26,14 October 2020,"Štadión Antona Malatinského, Trnava, Slovakia",123,Israel,1–0,2–3,2020–21 UEFA Nations League B
