# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National Cup Apps,National Cup Goals,League Cup Apps,League Cup Goals,International Apps,International Goals,Total Apps,Total Goals,Total Unnamed: 13_level_1
1. FC Köln,1978–79,Bundesliga,16,4,2,1,–,–,3,1,21,6,
1. FC Köln,1979–80,Bundesliga,34,7,8,2,–,–,–,–,42,9,
1. FC Köln,1980–81,Bundesliga,32,6,3,0,–,–,9,3,44,9,
1. FC Köln,1981–82,Bundesliga,33,15,1,0,–,–,–,–,34,15,
1. FC Köln,1982–83,Bundesliga,34,6,6,2,–,–,5,1,45,19,
1. FC Köln,1983–84,Bundesliga,33,17,3,1,–,–,4,1,40,19,
1. FC Köln,1984–85,Bundesliga,28,16,2,1,–,–,8,3,38,20,
1. FC Köln,1985–86,Bundesliga,24,8,2,0,–,–,9,4,35,12,
1. FC Köln,Total,Total,234,89,27,7,–,–,38,12,299,109,
RCF Paris,1986–87,Division 1,32,4,1,1,–,–,–,–,33,5,
RCF Paris,1987–88,Division 1,2,0,–,–,–,–,–,–,2,0,
RCF Paris,Total,Total,34,4,1,1,–,–,–,–,35,5,
1. FC Köln,1987–88,Bundesliga,31,8,2,2,,,,,33,10,
1. FC Köln,1988–89,Bundesliga,30,5,2,0,,,6,1,38,6,
1. FC Köln,1989–90,Bundesliga,34,8,3,1,,,9,2,46,11,
1. FC Köln,1990–91,Bundesliga,15,2,5,0,,,,,25,2,
1. FC Köln,1991–92,Bundesliga,36,1,2,1,,,,,38,2,
1. FC Köln,1992–93,Bundesliga,26,3,2,1,,,2,0,30,4,
1. FC Köln,Total,Total,172,27,16,5,0,0,17,3,240,35,
JEF United Ichihara,1993,J1 League,35,9,3,2,6,0,,,44,11,
JEF United Ichihara,1994,J1 League,28,1,0,0,2,0,,,30,1,
JEF United Ichihara,Total,Total,63,10,3,2,8,0,,,74,12,
Brummell Sendai,1996,Football League,27,5,3,1,-,-,,,30,6,
Brummell Sendai,1997,Football League,2,0,0,0,5,0,,,7,0,
Brummell Sendai,Total,Total,29,5,3,1,5,0,,,37,6,
Career total,Career total,Career total,532,135,49,15,13,0,55,15,658,166,
