# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
River Plate,1995–96,Argentine Primera División,1,0,—,—,—,—,—,—,1,0
River Plate,1996–97,Argentine Primera División,—,—,—,—,—,—,—,—,0,0
River Plate,1997–98,Argentine Primera División,16,4,—,—,7,2,—,—,23,6
River Plate,1998–99,Argentine Primera División,18,2,—,—,9,1,—,—,27,3
River Plate,1999–00,Argentine Primera División,33,13,—,—,8,3,—,—,41,16
River Plate,2000–01,Argentine Primera División,15,4,—,—,5,1,—,—,20,5
River Plate,Total,Total,83,23,0,0,29,7,0,0,112,30
Valencia,2000–01,La Liga,10,2,—,—,8,0,—,—,18,2
Valencia,2001–02,La Liga,33,4,1,0,6,2,—,—,40,6
Valencia,2002–03,La Liga,31,8,4,0,11,3,—,—,46,11
Valencia,2003–04,La Liga,25,4,5,0,8,0,—,—,38,4
Valencia,2004–05,La Liga,31,4,2,0,6,2,—,—,39,6
Valencia,2005–06,La Liga,32,5,2,0,1,0,—,—,35,5
Valencia,Total,Total,162,27,13,0,40,7,—,—,216,34
Zaragoza,2006–07,La Liga,31,5,1,0,—,—,—,—,32,5
Zaragoza,2007–08,La Liga,22,0,2,0,1,0,—,—,25,0
Zaragoza,Total,Total,53,5,3,0,1,0,—,—,57,5
Benfica,2008–09,Primeira Liga,22,1,2,0,1,0,4,1,29,2
Benfica,2009–10,Primeira Liga,25,4,1,0,11,1,4,0,41,5
Benfica,2010–11,Primeira Liga,23,5,6,1,12,1,5,0,46,7
Benfica,2011–12,Primeira Liga,24,2,2,0,12,1,4,0,42,3
Benfica,2012–13,Primeira Liga,13,0,3,0,3,0,2,0,21,0
Benfica,Total,Total,107,12,14,1,39,3,18,1,179,17
Johor Darul Ta'zim,2014,Malaysia Super League,8,2,0,0,—,—,—,—,8,2
Johor Darul Ta'zim,Total,Total,8,2,0,0,0,0,0,0,8,2
River Plate,2015,Argentine Primera División,1,0,1,0,0,0,0,0,2,0
Estudiantes Río Cuarto,2017–18,Torneo Federal A,—,—,1,0,—,—,—,—,1,0
Career total,Career total,Career total,413,67,32,1,101,17,18,1,566,86
