# List of international goals scored by Enzo Scifo
No.,Date,Venue,Opponent,Score,Result,Competition
1.0,17 October 1984,"Heysel Stadium, Brussels",Albania,2–1,3–1,1986 World Cup qualifier
2.0,27 March 1985,"Heysel Stadium, Brussels",Greece,2–0,2–0,1986 World Cup qualifier
3.0,8 June 1986,"Estadio Nemesio Díez, Toluca",Iraq,1–0,2–1,1986 World Cup
4.0,15 June 1986,"Estadio Nou Camp, León",Soviet Union,1–1,4–3,1986 World Cup
5.0,10 September 1986,"Heysel Stadium, Brussels",Republic of Ireland,2–1,2–2,Euro 1988 qualifier
6.0,26 May 1990,"Heysel Stadium, Brussels",Romania,1–0,2–2,Friendly
7.0,17 June 1990,"Stadio Marc'Antonio Bentegodi, Verona",Uruguay,2–0,3–1,1990 World Cup
8.0,27 February 1991,"Constant Vanden Stock Stadium, Brussels",Luxembourg,3–0,3–0,Euro 1992 qualifier
9.0,11 September 1991,"Stade Josy Barthel, Luxembourg",Luxembourg,1–0,2–0,Euro 1992 qualifier
10.0,9 October 1991,"Sóstói Stadion, Székesfehérvár",Hungary,2–0,2–0,Friendly
11.0,25 March 1992,"Parc des Princes, Paris",France,2–1,3–3,Friendly
12.0,13 February 1993,"Makario Stadium, Nicosia",Cyprus,1–0,3–0,1994 World Cup qualifier
13.0,13 February 1993,"Makario Stadium, Nicosia",Cyprus,2–0,3–0,1994 World Cup qualifier
14.0,22 May 1993,"Constant Vanden Stock Stadium, Brussels",Faroe Islands,2–0,3–0,1994 World Cup qualifier
15.0,13 October 1993,"Stadionul Steaua, Bucharest",Romania,1–2,1–2,1994 World Cup qualifier
16.0,7 June 1995,"Philip II Arena, Skopje",North Macedonia,2–0,5–0,Euro 1996 qualifier
17.0,7 June 1995,"Philip II Arena, Skopje",North Macedonia,5–0,5–0,Euro 1996 qualifier
18.0,6 June 1998,"King Baudouin Stadium, Brussels",Paraguay,1–0,1–0,Friendly
