# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Continental Apps,Continental Goals,Total Apps,Total Goals
UNAM,1976–77,Mexican Primera División,27.0,7.0,,,,,27,7
UNAM,1977–78,Mexican Primera División,30.0,11.0,,,,,30,11
UNAM,1978–79,Mexican Primera División,45.0,28.0,,,2.0,0.0,47,28
UNAM,1979–80,Mexican Primera División,44.0,30.0,,,,,44,30
UNAM,1980–81,Mexican Primera División,42.0,21.0,,,7.0,5.0,49,26
UNAM,Total,Total,188.0,97.0,,,9.0,5.0,197,102
San Diego Sockers (loan),1979,NASL,17.0,12.0,,,,,17,12
San Diego Sockers (loan),1980,NASL,15.0,14.0,,,,,15,14
San Diego Sockers (loan),Total,Total,32.0,26.0,,,,,32,26
Atlético Madrid (loan),1981–82,La Liga,20.0,8.0,4.0,1,2.0,0.0,26,9
Atlético Madrid,1982–83,La Liga,31.0,15.0,4.0,3,,,39,22
Atlético Madrid,1983–84,La Liga,27.0,12.0,2.0,0,2.0,0.0,39,19
Atlético Madrid,1984–85,La Liga,33.0,19.0,8.0,6,2.0,1.0,47,29
Atlético Madrid,Total,Total,111.0,54.0,18.0,10,6.0,1.0,151,79
Real Madrid,1985–86,La Liga,33.0,22.0,5.0,2,11.0,5.0,49,29
Real Madrid,1986–87,La Liga,41.0,34.0,6.0,6,7.0,3.0,54,43
Real Madrid,1987–88,La Liga,36.0,29.0,7.0,3,7.0,3.0,50,35
Real Madrid,1988–89,La Liga,35.0,27.0,6.0,4,7.0,5.0,50,37
Real Madrid,1989–90,La Liga,35.0,38.0,6.0,3,3.0,1.0,44,42
Real Madrid,1990–91,La Liga,19.0,12.0,1.0,1,3.0,5.0,25,19
Real Madrid,1991–92,La Liga,8.0,2.0,1.0,0,1.0,1.0,10,3
Real Madrid,Total,Total,207.0,164.0,32.0,19,39.0,23.0,282,208
América,1992–93,Mexican Primera División,29.0,11.0,,,6.0,7.0,35,18
Rayo Vallecano,1993–94,La Liga,29.0,16.0,6.0,1,,,35,17
Atlante,1994–95,Mexican Primera División,31.0,13.0,,,,,31,13
Linz,1995–96,2. Liga,18.0,6.0,1.0,0,,,19,6
Dallas Burn,1996,Major League Soccer,23.0,7.0,2.0,1,,,25,8
Atlético Celaya,1996–97,Mexican Primera División,11.0,2.0,,,,,11,2
Real Madrid,1996–97,La Liga,,,,,1.0,3.0,1,3
Career total,Career total,Career total,679.0,396.0,81.0,50,61.0,39.0,819,485
