# List of international goals scored by Pierre Littbarski
No.,Date,Venue,Opponent,Score,Result,Competition
1,14 October 1981,"Praterstadion, Vienna",Austria,1–1,3–1,1982 World Cup qualifier
2,14 October 1981,"Praterstadion, Vienna",Austria,3–1,3–1,1982 World Cup qualifier
3,18 November 1981,"Westfalenstadion, Dortmund",Albania,6–0,8–0,1982 World Cup qualifier
4,14 April 1982,"Müngersdorferstadion, Cologne",Czechoslovakia,1–0,2–1,Friendly
5,12 May 1982,"Ullevaal Stadion, Oslo",Norway,2–1,4–2,Friendly
6,12 May 1982,"Ullevaal Stadion, Oslo",Norway,3–1,4–2,Friendly
7,2 July 1982,"Santiago Bernabéu Stadium, Madrid",Spain,1–0,2–1,1982 World Cup
8,8 July 1982,"Estadio Ramón Sánchez Pizjuán, Seville",France,1–0,3–3,1982 World Cup
9,24 February 1985,"Estádio Nacional, Lisbon",Portugal,1–0,2–1,1986 World Cup qualifier
10,27 March 1985,"Ludwigsparkstadion, Saarbrücken",Malta,4–0,6–0,1986 World Cup qualifier
11,17 April 1985,"Rosenaustadion, Augsburg",Bulgaria,3–1,4–1,Friendly
12,30 April 1985,"Strahov Stadium, Prague",Czechoslovakia,2–0,5–1,1986 World Cup qualifier
13,9 September 1987,"Esprit Arena, Düsseldorf",England,1–0,3–1,Friendly
14,9 September 1987,"Esprit Arena, Düsseldorf",England,2–0,3–1,Friendly
15,13 October 1987,"Parkstadion, Gelsenkirchen",Sweden,1–0,2–2,Friendly
16,22 March 1989,"Vasil Levski National Stadium, Sofia",Bulgaria,2–1,2–1,Friendly
17,4 October 1989,"Westfalenstadion, Dortmund",Finland,2–0,6–1,1990 World Cup qualifier
18,19 June 1990,"San Siro, Milan",Colombia,1–0,1–1,1990 World Cup
