# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Total Apps,Total Goals
Benfica,1950–51,Primeira Divisão,19,23,7,6,–,–,26,29
Benfica,1951–52,Primeira Divisão,22,28,7,6,–,–,29,34
Benfica,1952–53,Primeira Divisão,25,25,7,10,–,–,32,35
Benfica,1953–54,Primeira Divisão,18,24,2,0,–,–,20,24
Benfica,1954–55,Primeira Divisão,26,20,6,6,–,–,32,26
Benfica,1955–56,Primeira Divisão,26,28,2,2,–,–,28,30
Benfica,1956–57,Primeira Divisão,25,30,7,3,–,–,32,33
Benfica,1957–58,Primeira Divisão,22,22,8,9,2,0,32,31
Benfica,1958–59,Primeira Divisão,24,26,8,3,–,–,32,29
Benfica,1959–60,Primeira Divisão,25,18,9,12,–,–,34,30
Benfica,1960–61,Primeira Divisão,23,27,1,5,9,11,33,43
Benfica,1961–62,Primeira Divisão,22,18,5,2,9,6,36,26
Benfica,1962–63,Primeira Divisão,4,2,6,5,3,1,13,8
Benfica,Total,Total,281,291,75,70,21,18,377,379
Austria Wien,1963–64,Austrian Staatsliga,7,2,0,0,1,0,8,2
Career total,Career total,Career total,288,293,75,70,22,18,385,381
