# List of international goals scored by Xabi Alonso
No.,Date,Venue,Opponent,Score,Result,Competition
1,14 June 2006,"Zentralstadion, Leipzig, Germany",Ukraine,1–0,4–0,2006 FIFA World Cup
2,20 August 2008,"Parken Stadium, Copenhagen, Denmark",Denmark,1–0,3–0,Friendly
3,20 August 2008,"Parken Stadium, Copenhagen, Denmark",Denmark,3–0,3–0,Friendly
4,1 April 2009,"Ali Sami Yen Stadium, Istanbul, Turkey",Turkey,1–1,2–1,2010 FIFA World Cup Qualification
5,28 June 2009,"Royal Bafokeng Stadium, Rustenburg, South Africa",South Africa,3–2,3–2,2009 FIFA Confederations Cup
6,14 November 2009,"Vicente Calderón Stadium, Madrid, Spain",Argentina,1–0,2–1,Friendly
7,14 November 2009,"Vicente Calderón Stadium, Madrid, Spain",Argentina,2–1,2–1,Friendly
8,29 May 2010,"Tivoli-Neu, Innsbruck, Austria",Saudi Arabia,2–1,3–2,Friendly
9,8 June 2010,"Estadio Nueva Condomina, Murcia, Spain",Poland,3–0,6–0,Friendly
10,7 June 2011,"Estadio José Antonio Anzoátegui, Puerto la Cruz, Venezuela",Venezuela,3–0,3–0,Friendly
11,10 August 2011,"Stadio San Nicola, Bari, Italy",Italy,1–1,1–2,Friendly
12,7 October 2011,"Generali Arena, Prague, Czech Republic",Czech Republic,2–0,2–0,UEFA Euro 2012 Qualification
13,30 May 2012,"Stade de Suisse, Bern, Switzerland",South Korea,2–1,4–1,Friendly
14,23 June 2012,"Donbas Arena, Donetsk, Ukraine",France,1–0,2–0,UEFA Euro 2012
15,23 June 2012,"Donbas Arena, Donetsk, Ukraine",France,2–0,2–0,UEFA Euro 2012
16,13 June 2014,"Arena Fonte Nova, Salvador, Brazil",Netherlands,1–0,1–5,2014 FIFA World Cup
