# Appearances and goals by club, season and competition;Club
Club,Season,League Division,League Apps,League Goals,Scottish Cup Apps,Scottish Cup Goals,Scottish League Cup Apps,Scottish League Cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Celtic,1970–71,Scottish Division One,7,0,0,0,5,0,2,0,2,0,16,0
Celtic,1971–72,Scottish Division One,3,0,1,0,4,0,2,0,0,0,10,0
Celtic,1972–73,Scottish Division One,30,0,7,0,10,0,4,0,2,0,53,0
Celtic,1973–74,Scottish Division One,30,1,3,0,13,0,5,0,3,0,54,1
Celtic,1974–75,Scottish Division One,30,0,5,0,7,0,2,0,3,1,47,1
Celtic,1975–76,Scottish Premier Division,35,0,1,0,9,1,6,0,2,0,53,1
Celtic,1976–77,Scottish Premier Division,36,0,7,0,10,1,2,0,0,0,55,1
Celtic,1977–78,Scottish Premier Division,7,0,0,0,2,0,2,0,0,0,11,0
Celtic,1978–79,Scottish Premier Division,18,2,4,0,1,0,0,0,1,0,24,2
Celtic,1979–80,Scottish Premier Division,34,0,6,0,5,0,6,0,3,0,54,0
Celtic,1980–81,Scottish Premier Division,33,0,3,0,8,0,4,0,1,0,49,0
Celtic,1981–82,Scottish Premier Division,26,0,2,1,6,0,1,0,0,0,35,1
Celtic,1982–83,Scottish Premier Division,33,1,3,0,10,1,4,0,2,0,52,2
Celtic,1983–84,Scottish Premier Division,33,0,5,0,10,0,6,0,0,0,54,0
Celtic,1984–85,Scottish Premier Division,30,0,7,0,3,0,4,0,1,0,45,0
Celtic,1985–86,Scottish Premier Division,28,0,2,0,2,0,2,0,2,0,36,0
Celtic,1986–87,Scottish Premier Division,26,0,4,0,1,0,2,0,0,0,33,0
Celtic,Total,Total,439,4,60,1,106,3,54,0,22,1,681,9
Hamilton Academical,1987–88,Scottish First Division,21,0,0,0,1,0,0,0,0,0,22,0
Career total,Career total,Career total,460,4,60,1,107,3,54,0,22,0,703,9
