# List of international goals scored by Phillip Cocu
No.,Date,Venue,Opponent,Score,Result,Competition
1,4 June 1996,"De Kuip, Rotterdam",Republic of Ireland,3–1,3–1,Friendly
2,9 October 1996,"Philips Stadion, Eindhoven, Netherlands",Wales,5–1,7–1,1998 FIFA World Cup qualification
3,20 June 1998,"Stade Vélodrome, Marseille, France",South Korea,1–0,5–0,1998 FIFA World Cup
4,25 June 1998,"Stade Geoffroy-Guichard, Saint-Étienne, France",Mexico,1–0,2–2,1998 FIFA World Cup
5,5 September 2001,"Philips Stadion, Eindhoven, Netherlands",Estonia,3–0,5–0,2002 FIFA World Cup qualification
6,16 October 2002,"Ernst-Happel-Stadion, Vienna, Austria",Austria,2–0,3–0,UEFA Euro 2004 qualification
7,6 September 2003,"De Kuip, Rotterdam",Austria,3–1,3–1,UEFA Euro 2004 qualification
8,17 November 2004,"Mini Estadi, Barcelona, Spain",Andorra,1–0,3–0,2006 FIFA World Cup qualification
9,26 March 2005,"Stadionul Giulești, Bucharest, Romania",Romania,1–0,2–0,2006 FIFA World Cup qualification
10,8 June 2005,"Helsinki Olympic Stadium, Helsinki, Finland",Finland,3–0,4–0,2006 FIFA World Cup qualification
