# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Slovan Bratislava,2004–05,2. Liga,6,1,0,0,—,—,—,—,6,1
Brescia,2004–05,Serie A,1,0,0,0,—,—,—,—,1,0
Brescia,2005–06,Serie B,24,0,4,1,—,—,—,—,28,1
Brescia,2006–07,Serie B,40,10,5,1,—,—,—,—,45,11
Brescia,Total,Total,65,10,9,2,—,—,—,—,74,12
Napoli,2007–08,Serie A,37,9,3,1,—,—,—,—,40,10
Napoli,2008–09,Serie A,32,9,2,1,6,2,—,—,40,12
Napoli,2009–10,Serie A,37,12,2,0,—,—,—,—,39,12
Napoli,2010–11,Serie A,37,11,2,0,10,2,—,—,49,13
Napoli,2011–12,Serie A,37,9,5,1,8,2,—,—,50,12
Napoli,2012–13,Serie A,38,11,1,0,4,0,1,0,44,11
Napoli,2013–14,Serie A,28,7,5,0,8,0,—,—,41,7
Napoli,2014–15,Serie A,35,7,4,1,14,5,1,0,54,13
Napoli,2015–16,Serie A,38,6,2,0,6,2,—,—,46,8
Napoli,2016–17,Serie A,38,12,3,1,8,2,—,—,49,15
Napoli,2017–18,Serie A,38,7,1,0,10,0,—,—,49,7
Napoli,2018–19,Serie A,13,0,0,0,6,1,—,—,19,1
Napoli,Total,Total,408,100,30,5,80,16,2,0,520,121
Dalian Professional,2019,Chinese Super League,28,2,3,1,—,—,—,—,31,3
Dalian Professional,2020,Chinese Super League,14,2,0,0,—,—,—,—,14,2
Dalian Professional,Total,Total,42,4,3,1,—,—,—,—,45,5
IFK Göteborg,2021,Allsvenskan,6,1,0,0,—,—,—,—,6,1
Trabzonspor,2021–22,Süper Lig,26,2,2,0,4,0,—,—,32,2
Trabzonspor,2022–23,Süper Lig,23,3,3,0,6,1,1,0,33,4
Trabzonspor,Total,Total,49,5,5,0,10,1,1,0,65,6
Career total,Career total,Career total,576,121,47,8,90,17,3,0,716,146
