# Table 1
Club,Season,League Division,League Apps,League Goals,Cup1 Apps,Cup1 Goals,League Cup2 Apps,League Cup2 Goals,Continental3 Apps,Continental3 Goals,Other4 Apps,Other4 Goals,Total Apps,Total Goals
Ternana (loan),1986–87,Serie C2,27,2,6,3,—,—,—,—,—,—,33,5
Lazio,1988–89,Serie A,30,1,6,1,—,—,—,—,—,—,36,2
Lazio,1989–90,Serie A,24,3,2,1,—,—,—,—,—,—,26,4
Lazio,Total,Total,54,4,8,2,—,—,—,—,—,—,62,6
Juventus,1990–91,Serie A,23,3,6,0,—,—,5,0,—,—,34,3
Juventus,1991–92,Serie A,24,0,9,1,—,—,—,—,—,—,33,1
Juventus,1992–93,Serie A,31,3,4,0,—,—,9,0,—,—,44,4
Juventus,Total,Total,78,6,19,1,—,—,14,0,—,—,111,7
Napoli,1993–94,Serie A,26,5,1,0,—,—,—,—,—,—,27,5
Milan,1994–95,Serie A,15,1,2,0,—,—,2,0,—,—,19,1
Milan,1995–96,Serie A,22,5,4,1,—,—,8,0,—,—,34,6
Milan,Total,Total,37,6,6,1,—,—,10,0,—,—,53,7
Celtic,1996–97,Scottish Premier Division,26,12,6,3,2,0,3,0,—,—,37,15
Sheffield Wednesday,1997–98,Premier League,35,12,3,0,2,2,—,—,—,—,40,14
Sheffield Wednesday,1998–99,Premier League,6,3,0,0,2,0,—,—,—,—,8,3
Sheffield Wednesday,Total,Total,41,15,3,0,4,2,—,—,—,—,48,17
West Ham United,1998–99,Premier League,13,4,0,0,0,0,—,—,—,—,13,4
West Ham United,1999–2000,Premier League,30,16,1,0,4,1,10,1,—,—,45,18
West Ham United,2000–01,Premier League,31,9,3,1,3,1,—,—,—,—,37,11
West Ham United,2001–02,Premier League,26,9,1,0,0,0,—,—,—,—,27,9
West Ham United,2002–03,Premier League,18,9,0,0,1,0,—,—,—,—,19,9
West Ham United,Total,Total,118,47,5,1,8,2,10,1,—,—,141,51
Charlton Athletic,2003–04,Premier League,31,4,1,0,1,1,—,—,—,—,33,5
Lazio,2004–05,Serie A,23,6,1,0,—,—,5,1,1,0,30,7
Lazio,2005–06,Serie A,27,5,1,0,—,—,4,2,—,—,32,7
Lazio,Total,Total,50,11,2,0,—,—,9,3,1,0,62,14
Cisco Roma,2006–07,Serie C2,28,7,5,3,—,—,—,—,—,—,33,10
Cisco Roma,2007–08,Serie C2,18,7,2,0,—,—,—,—,—,—,20,7
Cisco Roma,Total,Total,46,14,7,3,—,—,—,—,—,—,53,17
Career total,Career total,Career total,534,126,64,14,15,5,46,4,1,0,670,149
