# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Deportivo Municipal,1968,Segunda División,,14.0,,,,,,,,14.0
Deportivo Municipal,1969,Torneo Descentralizado,18.0,10.0,,,,,,,18.0,10.0
Deportivo Municipal,1970,Torneo Descentralizado,26.0,12.0,,,,,,,26.0,12.0
Deportivo Municipal,1971,Torneo Descentralizado,30.0,11.0,,,,,,,30.0,11.0
Deportivo Municipal,1972,Torneo Descentralizado,29.0,14.0,,,,,,,29.0,14.0
Deportivo Municipal,Total,Total,121.0,57.0,,,,,,,121.0,57.0
Barcelona,1973–74,La Liga,34.0,10.0,0.0,0.0,2.0,1.0,14.0,6.0,50.0,17.0
Barcelona,1974–75,La Liga,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,11.0,4.0
Barcelona,1975–76,La Liga,19.0,2.0,2.0,1.0,5.0,1.0,8.0,2.0,34.0,6.0
Barcelona,1976–77,La Liga,5.0,1.0,0.0,0.0,3.0,0.0,3.0,1.0,11.0,2.0
Barcelona,Total,Total,58.0,13.0,2.0,1.0,10.0,2.0,36.0,13.0,96.0,29.0
Alianza Lima,1977,Torneo Descentralizado,30.0,17.0,,,,,,,30.0,17.0
Alianza Lima,1978,Torneo Descentralizado,15.0,8.0,,,10.0,5.0,,,25.0,13.0
Alianza Lima,Total,Total,45.0,25.0,,,10.0,5.0,,,55.0,30.0
Independiente Medellín,1979,Categoría Primera A,22.0,6.0,,,,,,,22.0,6.0
Independiente Medellín,1980,Categoría Primera A,10.0,2.0,,,,,,,10.0,2.0
Independiente Medellín,Total,Total,32.0,8.0,,,,,,,32.0,8.0
Deportivo Municipal,1981,Torneo Descentralizado,10.0,4.0,,,,,,,10.0,4.0
Deportivo Municipal,1982,Torneo Descentralizado,10.0,3.0,,,3.0,0.0,,,13.0,3.0
Deportivo Municipal,Total,Total,20.0,7.0,,,3.0,0.0,,,23.0,7.0
Los Espartanos,1984,Copa Perú,,,,,,,,,,
Los Espartanos,1985,Torneo Descentralizado,10.0,4.0,,,,,,,10.0,4.0
Los Espartanos,Total,Total,,,,,,,,,,
Deportivo Junín,1986,Torneo Descentralizado,1.0,0.0,,,,,,,1.0,0.0
Career total,Career total,Career total,,,,,,7.0,,,,
