# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National Cup Apps,National Cup Goals,League Cup Apps,League Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Independiente,2002–03,Argentine Primera División,1,0,—,—,—,—,—,—,—,—,1,0
Independiente,2003–04,Argentine Primera División,5,0,—,—,—,—,2,0,—,—,7,0
Independiente,2004–05,Argentine Primera División,12,5,—,—,—,—,—,—,—,—,12,5
Independiente,2005–06,Argentine Primera División,36,18,—,—,—,—,—,—,—,—,36,18
Independiente,Total,Total,54,23,—,—,—,—,2,0,—,—,56,23
Atlético Madrid,2006–07,La Liga,38,6,4,1,—,—,—,—,—,—,42,7
Atlético Madrid,2007–08,La Liga,37,19,4,2,—,—,9,6,—,—,50,27
Atlético Madrid,2008–09,La Liga,37,17,1,0,—,—,9,4,—,—,47,21
Atlético Madrid,2009–10,La Liga,31,12,7,1,—,—,16,6,—,—,54,19
Atlético Madrid,2010–11,La Liga,32,20,4,3,—,—,4,3,1,1,41,27
Atlético Madrid,Total,Total,175,74,20,7,—,—,38,19,1,1,234,101
Manchester City,2011–12,Premier League,34,24,1,1,3,1,10,5,0,0,48,31
Manchester City,2012–13,Premier League,30,12,4,3,0,0,5,2,1,0,40,17
Manchester City,2013–14,Premier League,23,17,3,4,2,1,6,6,—,—,34,28
Manchester City,2014–15,Premier League,33,26,1,0,1,0,7,6,0,0,42,32
Manchester City,2015–16,Premier League,30,24,1,1,4,2,9,2,—,—,44,29
Manchester City,2016–17,Premier League,31,20,5,5,1,0,8,8,—,—,45,33
Manchester City,2017–18,Premier League,25,21,3,2,4,3,7,4,—,—,39,30
Manchester City,2018–19,Premier League,33,21,2,2,3,1,7,6,1,2,46,32
Manchester City,2019–20,Premier League,24,16,2,2,3,3,3,2,0,0,32,23
Manchester City,2020–21,Premier League,12,4,0,0,1,0,7,2,—,—,20,6
Manchester City,Total,Total,275,184,22,20,22,11,69,43,2,2,390,260
Barcelona,2021–22,La Liga,4,1,0,0,—,—,1,0,0,0,5,1
Career total,Career total,Career total,508,282,42,27,22,11,110,62,3,3,685,385
