# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,State League Apps,State League Goals,Cup Apps,Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Internacional,1973,Série A,34,0,2,0,—,—,—,—,—,—,36,0
Internacional,1974,Série A,21,2,18,0,—,—,—,—,—,—,39,2
Internacional,1975,Série A,19,1,24,7,—,—,—,—,—,—,43,8
Internacional,1976,Série A,15,5,26,4,—,—,6,1,—,—,47,10
Internacional,1977,Série A,9,0,32,7,—,—,7,0,—,—,48,7
Internacional,1978,Série A,27,5,34,7,—,—,—,—,—,—,61,12
Internacional,1979,Série A,20,6,45,11,—,—,—,—,—,—,65,17
Internacional,1980,Série A,13,3,3,0,—,—,9,2,—,—,25,5
Internacional,Total,Total,158,22,184,36,—,—,22,3,—,—,364,61
Roma,1980–81,Serie A,25,3,—,—,5,0,2,1,—,—,32,4
Roma,1981–82,Serie A,24,6,—,—,2,0,4,0,—,—,30,6
Roma,1982–83,Serie A,27,7,—,—,4,1,8,2,—,—,39,10
Roma,1983–84,Serie A,27,5,—,—,8,0,8,1,—,—,43,6
Roma,1984–85,Serie A,4,1,—,—,3,0,1,0,—,—,8,1
Roma,Total,Total,107,22,—,—,22,1,23,4,—,—,152,27
São Paulo,1985,Série A,1,0,11,0,—,—,—,—,—,—,12,0
São Paulo,1986,Série A,0,0,0,0,—,—,—,—,2,1,2,1
São Paulo,Total,Total,1,0,11,0,—,—,—,—,2,1,14,1
Career total,Career total,Career total,266,44,195,36,22,1,45,7,2,1,530,89
