# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,DFB-Pokal Apps,DFB-Pokal Goals,Europe Apps,Europe Goals,Total Apps,Total Goals
Borussia Mönchengladbach,1965–66,Bundesliga,34,0,2,0,—,—,36,0
Borussia Mönchengladbach,1966–67,Bundesliga,34,1,1,0,—,—,35,1
Borussia Mönchengladbach,1967–68,Bundesliga,34,6,3,0,—,—,37,6
Borussia Mönchengladbach,1968–69,Bundesliga,34,8,2,0,—,—,36,8
Borussia Mönchengladbach,1969–70,Bundesliga,34,5,3,1,—,—,37,6
Borussia Mönchengladbach,1970–71,Bundesliga,34,1,4,0,4,2,42,3
Borussia Mönchengladbach,1971–72,Bundesliga,19,1,2,0,4,0,25,1
Borussia Mönchengladbach,1972–73,Bundesliga,34,3,9,0,12,2,55,5
Borussia Mönchengladbach,1973–74,Bundesliga,27,3,3,0,7,1,37,4
Borussia Mönchengladbach,1974–75,Bundesliga,34,0,2,0,12,2,48,2
Borussia Mönchengladbach,1975–76,Bundesliga,34,1,4,1,6,0,44,2
Borussia Mönchengladbach,1976–77,Bundesliga,27,1,1,0,9,1,37,2
Borussia Mönchengladbach,1977–78,Bundesliga,34,2,5,0,8,0,47,2
Borussia Mönchengladbach,1978–79,Bundesliga,6,0,1,0,3,0,10,0
Career total,Career total,Career total,419,32,42,2,65,8,526,42
