# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Total Apps,Total Goals
Castellón,1991–92,Segunda División,16,0,0,0,—,—,0,0,16,0
Valencia,1992–93,La Liga,2,0,0,0,—,—,0,0,2,0
Valencia,1993–94,La Liga,20,2,0,0,—,—,0,0,20,2
Valencia,1994–95,La Liga,13,1,3,0,—,—,—,—,16,1
Valencia,1995–96,La Liga,34,0,8,0,—,—,—,—,42,0
Valencia,1996–97,La Liga,30,1,0,0,—,—,6,0,36,1
Valencia,1997–98,La Liga,30,10,5,0,—,—,—,—,35,10
Valencia,1998–99,La Liga,37,7,7,5,—,—,10,0,54,12
Valencia,1999–2000,La Liga,33,13,2,1,—,—,16,5,51,19
Valencia,2000–01,La Liga,31,10,0,0,—,—,16,4,47,14
Valencia,Total,Total,230,44,25,6,0,0,48,9,303,59
Lazio,2001–02,Serie A,20,0,4,0,—,—,7,0,31,0
Barcelona (loan),2002–03,La Liga,33,4,1,0,—,—,13,2,47,6
Middlesbrough (loan),2003–04,Premier League,31,2,1,0,6,1,0,0,38,3
Middlesbrough,2004–05,Premier League,7,0,0,0,0,0,1,0,8,0
Middlesbrough,2005–06,Premier League,17,2,6,1,0,0,6,0,29,3
Middlesbrough,2006–07,Premier League,7,0,0,0,1,0,0,0,8,0
Middlesbrough,Total,Total,31,2,6,1,1,0,7,0,45,3
Career total,Career total,Career total,361,52,37,7,7,1,75,11,480,71
