# Appearances and goals by national team, year and competition
Team,Year,Competitive Apps,Competitive Goals,Friendly Apps,Friendly Goals,Total Apps,Total Goals
Brazil,1994,—,—,4,1,4,1
Brazil,1995,1,0,5,3,6,3
Brazil,1996,—,—,4,5,4,5
Brazil,1997,11,9,9,6,20,15
Brazil,1998,7,4,3,1,10,5
Brazil,1999,6,5,4,2,10,7
Brazil,2000,—,—,—,—,—,—
Brazil,2001,—,—,—,—,—,—
Brazil,2002,7,8,5,3,12,11
Brazil,2003,4,3,4,0,8,3
Brazil,2004,7,6,4,0,11,6
Brazil,2005,4,1,1,0,5,1
Brazil,2006,5,3,2,2,8,5
Brazil,2007,—,—,—,—,—,—
Brazil,2008,—,—,—,—,—,—
Brazil,2009,—,—,—,—,—,—
Brazil,2010,—,—,—,—,—,—
Brazil,2011,—,—,1,0,1,0
Total,Total,52,39,46,23,98,62
