# List of international goals scored by Jan Ceulemans
No.,Cap,Date,Venue,Opponent,Score,Result,Competition
1,14,6 June 1980,"Heysel Stadium, Brussels, Belgium",Romania,1–1,2–1,Friendly
2,15,12 June 1980,"Stadio Comunale, Turin, Italy",England,1–1,1–1,UEFA Euro 1980 Group stage
3,21,21 December 1980,"Makario Stadium, Nicosia, Cyprus",Cyprus,2–0,2–0,1982 World Cup qualification
4,22,18 February 1981,"Heysel Stadium, Brussels, Belgium",Cyprus,2–0,3–2,1982 World Cup qualification
5,23,25 March 1981,"Heysel Stadium, Brussels, Belgium",Republic of Ireland,1–0,1–0,1982 World Cup qualification
6,24,29 April 1981,"Parc des Princes, Paris, France",France,2–3,2–3,1982 World Cup qualification
7,38,27 April 1983,"Heysel Stadium, Brussels, Belgium",East Germany,1–1,2–1,Euro 1984 qualification
8,43,6 June 1984,"Heysel Stadium, Brussels, Belgium",Hungary,1–0,2–2,Friendly
9,43,6 June 1984,"Heysel Stadium, Brussels, Belgium",Hungary,2–2,2–2,Friendly
10,46,19 June 1984,"Stade de la Meinau, Strasbourg, France",Denmark,1–0,2–3,UEFA Euro 1984 Group stage
11,60,15 June 1986,"Estadio León, León, Mexico",Soviet Union,2–2,4–3 (a.e.t.),1986 World Cup Round of 16
12,61,22 June 1986,"Estadio Cuauhtémoc, Puebla, Mexico",Spain,1–0,2–2 (a.e.t.),1986 World Cup Quarter finals
13,63,28 June 1986,"Estadio Cuauhtémoc, Puebla, Mexico",France,1–0,2–4 (a.e.t.),1986 World Cup Third place play-off
14,65,14 October 1986,"Stade Municipal, Luxembourg City, Luxembourg",Luxembourg,5–0,6–0,Euro 1988 qualification
15,71,11 November 1987,"Heysel Stadium, Brussels, Belgium",Luxembourg,1–0,3–0,Euro 1988 qualification
16,73,26 March 1988,"Heysel Stadium, Brussels, Belgium",Hungary,1–0 ‡,3–0,Friendly
17,74,5 June 1988,"Odense Stadium, Odense, Denmark",Denmark,1–0,1–3,Friendly
18,81,8 June 1989,"Terry Fox Stadium, Ottawa, Canada",Canada,1–0,2–0,Friendly
19,82,23 August 1989,"Olympiastadion, Bruges, Belgium",Denmark,2–0,3–0,Friendly
20,82,23 August 1989,"Olympiastadion, Bruges, Belgium",Denmark,3–0 ‡,3–0,Friendly
21,86,6 September 1989,"Heysel Stadium, Brussels, Belgium",Portugal,1–0,3–0,1990 World Cup qualification
22,90,17 June 1990,"Stadio Marcantonio Bentegodi, Verona, Italy",Uruguay,3–0,3–1,1990 World Cup Group stage
23,96,27 February 1991,"Constant Vanden Stock Stadium, Anderlecht, Belgium",Luxembourg,2–0,3–0,Euro 1992 qualification
