# List of international goals scored by John Carew
No.,Date,Venue,Opponent,Score,Result,Competition,Ref.
1,22 January 1999,"HaShalom Stadium, Umm al-Fahm, Israel",Estonia,3–0,3–3,Friendly,
2,4 February 2000,"La Manga Club Football Stadium, Cartagena, Spain",Sweden,1–0,1–1,Friendly,
3,3 June 2000,"Ullevaal Stadion, Oslo, Norway",Italy,1–0,1–0,Friendly,
4,28 February 2001,"Windsor Park, Belfast, Northern Ireland",Northern Ireland,2–0,4–0,Friendly,
5,24 March 2001,"Ullevaal Stadion, Oslo, Norway",Poland,1–2,2–3,2002 FIFA World Cup qualification,
6,6 June 2001,"Ullevaal Stadion, Oslo, Norway",Belarus,1–1,1–1,2002 FIFA World Cup qualification,
7,5 September 2001,"Ullevaal Stadion, Oslo, Norway",Wales,2–2,3–2,2002 FIFA World Cup qualification,
8,6 October 2001,"Vazgen Sargsyan Republican Stadium, Yerevan, Armenia",Armenia,2–0,4–1,2002 FIFA World Cup qualification,
9,6 October 2001,"Vazgen Sargsyan Republican Stadium, Yerevan, Armenia",Armenia,4–1,4–1,2002 FIFA World Cup qualification,
10,7 September 2002,"Ullevaal Stadion, Oslo, Norway",Denmark,2–2,2–2,UEFA Euro 2004 qualifying,
11,4 September 2004,"Stadio Renzo Barbera, Palermo, Italy",Italy,1–0,1–2,2006 FIFA World Cup qualification,
12,13 October 2004,"Ullevaal Stadion, Oslo, Norway",Slovenia,1–0,3–0,2006 FIFA World Cup qualification,
13,3 September 2005,"Stadion Z'dežele, Celje, Slovenia",Slovenia,1–0,3–2,2006 FIFA World Cup qualification,
14,15 November 2006,"Red Star Stadium, Belgrade, Serbia",Serbia,1–1,1–1,Friendly,
15,24 March 2007,"Ullevaal Stadion, Oslo, Norway",Bosnia and Herzegovina,1–2,1–2,UEFA Euro 2008 qualifying,
16,6 June 2007,"Ullevaal Stadion, Oslo, Norway",Hungary,3–0,4–0,UEFA Euro 2008 qualifying,
17,6 June 2007,"Ullevaal Stadion, Oslo, Norway",Hungary,4–0,4–0,UEFA Euro 2008 qualifying,
18,22 August 2007,"Ullevaal Stadion, Oslo, Norway",Argentina,1–0,2–1,Friendly,
19,22 August 2007,"Ullevaal Stadion, Oslo, Norway",Argentina,2–0,2–1,Friendly,
20,12 September 2007,"Ullevaal Stadion, Oslo, Norway",Greece,1–1,2–2,UEFA Euro 2008 qualifying,
21,26 March 2008,"Podgorica City Stadium, Podgorica, Montenegro",Montenegro,1–3,1–3,Friendly,
22,14 November 2009,"Stade de Genève, Lancy, Switzerland",Switzerland,1–0,1–0,Friendly,
23,8 October 2010,"Larnaca, Cyprus",Cyprus,2–0,2–1,UEFA Euro 2012 qualifying,
24,11 October 2011,"Ullevaal Stadion, Oslo, Norway",Cyprus,2–0,3–1,UEFA Euro 2012 qualifying,
