# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Total Apps,Total Goals
Boavista,1994–95,Primeira Liga,17,1,1,0,–,–,4,1,22,2
Boavista,1995–96,Primeira Liga,28,7,2,1,–,–,0,0,30,8
Boavista,1996–97,Primeira Liga,34,15,5,4,–,–,6,2,45,21
Boavista,Total,Total,79,23,8,5,–,–,10,3,97,31
Benfica,1997–98,Primeira Liga,33,18,6,4,–,–,1,0,40,22
Benfica,1998–99,Primeira Liga,34,24,2,3,–,–,7,7,43,34
Benfica,1999–2000,Primeira Liga,34,18,2,1,–,–,5,1,41,20
Benfica,Total,Total,101,60,10,8,–,–,13,8,124,76
Fiorentina,2000–01,Serie A,30,9,3,4,–,–,0,0,33,13
Fiorentina,2001–02,Serie A,23,5,1,0,–,–,6,2,311,7
Fiorentina,Total,Total,53,14,4,4,–,–,6,2,64,20
Benfica,2002–03,Primeira Liga,28,9,1,0,–,–,0,0,29,9
Benfica,2003–04,Primeira Liga,21,7,3,0,–,–,5,5,29,12
Benfica,2004–05,Primeira Liga,23,7,5,2,–,–,6,3,34,12
Benfica,2005–06,Primeira Liga,29,15,4,1,–,–,8,0,422,172
Benfica,2006–07,Primeira Liga,24,6,3,3,–,–,14,4,41,13
Benfica,2007–08,Primeira Liga,25,7,3,1,0,0,8,1,36,9
Benfica,2008–09,Primeira Liga,24,7,1,0,2,1,6,1,33,9
Benfica,2009–10,Primeira Liga,13,3,2,0,2,0,6,1,23,4
Benfica,2010–11,Primeira Liga,6,4,1,0,1,1,0,0,8,5
Benfica,Total,Total,193,65,23,7,5,2,53,15,275,90
Braga,2011–12,Primeira Liga,20,6,2,0,2,0,5,0,29,6
Blackburn Rovers,2012–13,Championship,18,4,2,0,0,0,–,–,20,4
Career total,Career total,Career total,464,172,49,24,7,2,87,28,609,227
