# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Manchester United,2015–16,Premier League,11,5,4,1,0,0,3,2,—,—,18,8
Manchester United,2016–17,Premier League,32,5,3,3,6,1,11,2,1,0,53,11
Manchester United,2017–18,Premier League,35,7,5,1,3,2,8,3,1,0,52,13
Manchester United,2018–19,Premier League,33,10,4,1,0,0,10,2,—,—,47,13
Manchester United,2019–20,Premier League,31,17,4,0,3,4,6,1,—,—,44,22
Manchester United,2020–21,Premier League,37,11,3,1,4,1,13,8,—,—,57,21
Manchester United,2021–22,Premier League,25,4,2,0,0,0,5,1,—,—,32,5
Manchester United,2022–23,Premier League,35,17,6,1,6,6,9,6,—,—,56,30
Manchester United,2023–24,Premier League,33,7,5,1,1,0,4,0,—,—,43,8
Manchester United,2024–25,Premier League,15,4,0,0,2,2,6,1,1,0,24,7
Manchester United,Total,Total,287,87,36,9,25,16,75,26,3,0,426,138
Aston Villa (loan),2024–25,Premier League,10,2,3,2,—,—,4,0,—,—,17,4
Barcelona (loan),2025–26,La Liga,6,0,0,0,—,—,1,2,0,0,7,2
Career total,Career total,Career total,303,89,39,11,25,16,80,28,3,0,450,144
