# List of international goals scored by Hernán Crespo
No.,Date,Venue,Opponent,Score,Result,Competition
1,30 April 1997,"El Monumental, Buenos Aires, Argentina",Ecuador,2–0,2–1,1998 FIFA World Cup qualification
2,8 June 1997,"El Monumental, Buenos Aires, Argentina",Peru,1–0,2–0,1998 FIFA World Cup qualification
3,20 July 1997,"El Monumental, Buenos Aires, Argentina",Venezuela,1–0,2–0,1998 FIFA World Cup qualification
4,24 February 1998,"Estadio José María Minella, Mar del Plata, Argentina",FR Yugoslavia,1–0,3–1,Friendly
5,24 February 1998,"Estadio José María Minella, Mar del Plata, Argentina",FR Yugoslavia,2–1,3–1,Friendly
6,24 February 1998,"Estadio José María Minella, Mar del Plata, Argentina",FR Yugoslavia,3–1,3–1,Friendly
7,4 September 1999,"El Monumental, Buenos Aires, Argentina",Brazil,2–0,2–0,Friendly
8,26 April 2000,"Estadio José Pachencho Romero, Maracaibo, Venezuela",Venezuela,4–0,4–0,2002 FIFA World Cup qualification
9,29 June 2000,"Estadio El Campín, Bogotá, Colombia",Colombia,3–1,3–1,2002 FIFA World Cup qualification
10,19 July 2000,"El Monumental, Buenos Aires, Argentina",Ecuador,1–0,2–0,2002 FIFA World Cup qualification
11,3 September 2000,"Estadio Nacional, Lima, Peru",Peru,1–0,2–1,2002 FIFA World Cup qualification
12,28 February 2001,"Stadio Olimpico, Rome, Italy",Italy,2–1,2–1,Friendly
13,28 March 2001,"El Monumental, Buenos Aires, Argentina",Venezuela,1–0,5–0,2002 FIFA World Cup qualification
14,28 April 2001,"Estadio Hernando Siles, La Paz, Bolivia",Bolivia,1–1,3–3,2002 FIFA World Cup qualification
15,28 April 2001,"Estadio Hernando Siles, La Paz, Bolivia",Bolivia,2–3,3–3,2002 FIFA World Cup qualification
16,3 June 2001,"El Monumental, Buenos Aires, Argentina",Colombia,3–0,3–0,2002 FIFA World Cup qualification
17,15 August 2001,"Estadio Olímpico Atahualpa, Quito, Ecuador",Ecuador,2–0,2–0,2002 FIFA World Cup qualification
18,12 June 2002,"Hitomebore Stadium Miyagi, Rifu, Miyagi, Japan",Sweden,1–1,1–1,2002 FIFA World Cup
19,20 November 2002,"Saitama Stadium, Saitama, Japan",Japan,2–0,2–0,Friendly
20,9 September 2003,"Estadio Olímpico, Caracas, Venezuela",Venezuela,2–0,3–0,2006 FIFA World Cup qualification
21,15 November 2003,"El Monumental, Buenos Aires, Argentina",Bolivia,2–0,3–0,2006 FIFA World Cup qualification
22,19 November 2003,"Estadio Metropolitano, Barranquilla, Colombia",Colombia,1–0,1–1,2006 FIFA World Cup qualification
23,30 March 2004,"El Monumental, Buenos Aires, Argentina",Ecuador,1–0,1–0,2006 FIFA World Cup qualification
24,9 February 2005,"LTU-Arena, Düsseldorf, Germany",Germany,1–1,2–2,Friendly
25,9 February 2005,"LTU-Arena, Düsseldorf, Germany",Germany,2–2,2–2,Friendly
26,30 March 2005,"El Monumental, Buenos Aires, Argentina",Colombia,1–0,1–0,2006 FIFA World Cup qualification
27,8 June 2005,"El Monumental, Buenos Aires, Argentina",Brazil,1–0,3–1,2006 FIFA World Cup qualification
28,8 June 2005,"El Monumental, Buenos Aires, Argentina",Brazil,3–0,3–1,2006 FIFA World Cup qualification
29,12 November 2005,"Stade de Genève, Geneva, Switzerland",England,1–0,2–3,Friendly
30,10 June 2006,"FIFA WM Stadion Hamburg, Hamburg, Germany",Ivory Coast,1–0,2–1,2006 FIFA World Cup
31,16 June 2006,"FIFA WM Stadion Gelsenkirchen, Gelsenkirchen, Germany",Serbia and Montenegro,4–0,6–0,2006 FIFA World Cup
32,24 June 2006,"Zentralstadion, Leipzig, Germany",Mexico,1–1,2–1,2006 FIFA World Cup
33,28 June 2007,"Estadio José Pachencho Romero, Maracaibo, Venezuela",United States,1–1,4–1,2007 Copa América
34,28 June 2007,"Estadio José Pachencho Romero, Maracaibo, Venezuela",United States,2–1,4–1,2007 Copa América
35,2 July 2007,"Estadio José Pachencho Romero, Maracaibo, Venezuela",Colombia,1–1,4–2,2007 Copa América
