# Table 3
No.,Date,Venue,Opponent,Score,Result,Competition
1,22 February 1967,"Wildparkstadion, Karlsruhe, West Germany",Morocco,4–1,5–1,Friendly
2,22 March 1967,"Niedersachsenstadion, Hanover, West Germany",Bulgaria,1–0,1–0,Friendly
3,14 February 1973,"Olympiastadion, Munich, West Germany",Argentina,1–3,2–3,Friendly
4,24 November 1973,"Neckarstadion, Stuttgart, West Germany",Spain,1–0,2–1,Friendly
5,24 November 1973,"Neckarstadion, Stuttgart, West Germany",Spain,2–0,2–1,Friendly
6,1 May 1974,"Volksparkstadion, Hamburg, West Germany",Sweden,1–0,2–0,Friendly
7,1 May 1974,"Volksparkstadion, Hamburg, West Germany",Sweden,2–0,2–0,Friendly
8,11 October 1975,"Rheinstadion, Düsseldorf, West Germany",Greece,1–0,1–1,UEFA Euro 1976 qualifying
9,19 November 1975,"Neckarstadion, Stuttgart, West Germany",Bulgaria,1–0,1–0,UEFA Euro 1976 qualifying
10,20 December 1975,"İnönü Stadı, Istanbul, Turkey",Turkey,1–0,5–0,Friendly
11,20 December 1975,"İnönü Stadı, Istanbul, Turkey",Turkey,5–0,5–0,Friendly
12,28 February 1976,"Westfalenstadion, Dortmund, West Germany",Malta,3–0,8–0,UEFA Euro 1976 qualifying
13,28 February 1976,"Westfalenstadion, Dortmund, West Germany",Malta,5–0,8–0,UEFA Euro 1976 qualifying
14,6 October 1976,"Ninian Park, Cardiff, Wales",Wales,2–0,2–0,Friendly
