# List of international goals scored by Kevin De Bruyne
No.,Date,Venue,Cap,Opponent,Score,Result,Competition
1,12 October 2012,"Stadium Crvena Zvezda, Belgrade, Serbia",6,Serbia,2–0,3–0,2014 FIFA World Cup qualification
2,22 March 2013,"Philip II Arena, Skopje, Macedonia",10,Macedonia,1–0,2–0,2014 FIFA World Cup qualification
3,7 June 2013,"King Baudouin Stadium, Brussels, Belgium",13,Serbia,1–0,2–1,2014 FIFA World Cup qualification
4,15 October 2013,"King Baudouin Stadium, Brussels, Belgium",17,Wales,1–0,1–1,2014 FIFA World Cup qualification
5,26 May 2014,"Cristal Arena, Genk, Belgium",21,Luxembourg,5–1,5–1,Friendly
6,1 July 2014,"Arena Fonte Nova, Salvador, Brazil",25,United States,1–0,2–1,2014 FIFA World Cup
7,10 October 2014,"King Baudouin Stadium, Brussels, Belgium",28,Andorra,1–0,6–0,UEFA Euro 2016 qualifying
8,10 October 2014,"King Baudouin Stadium, Brussels, Belgium",28,Andorra,2–0,6–0,UEFA Euro 2016 qualifying
9,3 September 2015,"King Baudouin Stadium, Brussels, Belgium",34,Bosnia and Herzegovina,2–1,3–1,UEFA Euro 2016 qualifying
10,10 October 2015,"Estadi Nacional, Andorra la Vella, Andorra",36,Andorra,2–0,4–1,UEFA Euro 2016 qualifying
11,13 October 2015,"King Baudouin Stadium, Brussels, Belgium",37,Israel,2–0,3–1,UEFA Euro 2016 qualifying
12,13 November 2015,"King Baudouin Stadium, Brussels, Belgium",38,Italy,2–1,3–1,Friendly
13,28 May 2016,"Stade de Genève, Lancy, Switzerland",39,Switzerland,2–1,2–1,Friendly
14,27 March 2018,"King Baudouin Stadium, Brussels, Belgium",59,Saudi Arabia,4–0,4–0,Friendly
15,6 July 2018,"Kazan Arena, Kazan, Russia",66,Brazil,2–0,2–1,2018 FIFA World Cup
16,11 June 2019,"King Baudouin Stadium, Brussels, Belgium",70,Scotland,3–0,3–0,UEFA Euro 2020 qualifying
17,9 September 2019,"Hampden Park, Glasgow, Scotland",72,Scotland,4–0,4–0,UEFA Euro 2020 qualifying
18,19 November 2019,"King Baudouin Stadium, Brussels, Belgium",74,Cyprus,2–1,6–1,UEFA Euro 2020 qualifying
19,19 November 2019,"King Baudouin Stadium, Brussels, Belgium",74,Cyprus,3–1,6–1,UEFA Euro 2020 qualifying
20,18 November 2020,"Den Dreef, Leuven, Belgium",78,Denmark,4–2,4–2,2020–21 UEFA Nations League A
21,24 March 2021,"Den Dreef, Leuven, Belgium",79,Wales,1–1,3–1,2022 FIFA World Cup qualification
22,17 June 2021,"Parken Stadium, Copenhagen, Denmark",81,Denmark,2–1,2–1,UEFA Euro 2020
23,16 November 2021,"Cardiff City Stadium, Cardiff, Wales",88,Wales,1–0,1–1,2022 FIFA World Cup qualification
24,8 June 2022,"King Baudouin Stadium, Brussels, Belgium",90,Poland,2–1,6–1,2022–23 UEFA Nations League A
25,22 September 2022,"King Baudouin Stadium, Brussels, Belgium",92,Wales,1–0,2–1,2022–23 UEFA Nations League A
26,28 March 2023,"RheinEnergieStadion, Cologne, Germany",99,Germany,3–1,3–2,Friendly
27,5 June 2024,"King Baudouin Stadium, Brussels, Belgium",100,Montenegro,1–0,2–0,Friendly
28,22 June 2024,"RheinEnergieStadion, Cologne, Germany",103,Romania,2–0,2–0,UEFA Euro 2024
29,6 September 2024,"Nagyerdei Stadion, Debrecen, Hungary",106,Israel,1–0,3–1,2024–25 UEFA Nations League A
30,6 September 2024,"Nagyerdei Stadion, Debrecen, Hungary",106,Israel,3–1,3–1,2024–25 UEFA Nations League A
31,9 June 2025,"King Baudouin Stadium, Brussels, Belgium",111,Wales,4–3,4–3,2026 FIFA World Cup qualification
32,4 September 2025,"Rheinpark Stadion, Vaduz, Liechtenstein",112,Liechtenstein,4–0,6–0,2026 FIFA World Cup qualification
33,7 September 2025,"Constant Vanden Stock Stadium, Brussels, Belgium",113,Kazakhstan,1–0,6–0,2026 FIFA World Cup qualification
34,7 September 2025,"Constant Vanden Stock Stadium, Brussels, Belgium",113,Kazakhstan,5–0,6–0,2026 FIFA World Cup qualification
