# Table 1
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Continental Apps,Continental Goals,Other1 Apps,Other1 Goals,Total Apps,Total Goals,.mw-parser-output .tooltip-dotted{border-bottom:1px dotted;cursor:help}Ref.
Boulogne,2000–01,CFA,4,1,0,0,—,—,—,—,4,1,
Boulogne,2001–02,Championnat National,24,5,1,0,—,—,—,—,25,5,
Boulogne,Total,Total,28,6,1,0,—,—,—,—,29,6,—
Alès,2002–03,Championnat National,19,1,0,0,—,—,—,—,19,1,
Brest,2003–04,Championnat National,35,3,2,1,—,—,—,—,37,4,
Metz,2004–05,Ligue 1,20,2,2,0,—,—,—,—,22,2,
Galatasaray,2004–05,Süper Lig,14,0,3,1,—,—,—,—,17,1,
Marseille,2005–06,Ligue 1,35,6,1,0,12,3,5,3,53,12,
Marseille,2006–07,Ligue 1,25,5,1,0,4,0,7,1,37,6,
Marseille,Total,Total,60,11,2,0,16,3,12,4,90,18,—
Bayern Munich,2007–08,Bundesliga,28,11,5,2,11,3,2,3,46,19,
Bayern Munich,2008–09,Bundesliga,25,9,3,1,8,4,—,—,36,14,
Bayern Munich,2009–10,Bundesliga,19,4,4,2,7,1,—,—,30,7,
Bayern Munich,2010–11,Bundesliga,25,7,3,2,4,2,0,0,32,11,
Bayern Munich,2011–12,Bundesliga,32,12,4,2,14,3,—,—,50,17,
Bayern Munich,2012–13,Bundesliga,27,10,3,0,12,1,1,0,43,11,
Bayern Munich,2013–14,Bundesliga,22,10,4,1,10,3,3,2,39,16,
Bayern Munich,2014–15,Bundesliga,15,5,2,1,6,3,0,0,23,9,
Bayern Munich,2015–16,Bundesliga,13,2,2,0,7,0,0,0,22,2,
Bayern Munich,2016–17,Bundesliga,22,5,3,0,6,0,1,0,32,5,
Bayern Munich,2017–18,Bundesliga,20,5,5,1,8,0,1,0,34,6,
Bayern Munich,2018–19,Bundesliga,25,6,5,0,7,1,1,0,38,7,
Bayern Munich,Total,Total,273,86,43,12,100,21,9,5,425,124,—
Fiorentina,2019–20,Serie A,21,3,0,0,—,—,—,—,21,3,
Fiorentina,2020–21,Serie A,29,2,1,0,—,—,—,—,30,2,
Fiorentina,Total,Total,50,5,1,0,—,—,—,—,51,5,—
Salernitana,2021–22,Serie A,23,0,0,0,—,—,—,—,23,0,
Salernitana,2022–23,Serie A,1,0,1,0,—,—,—,—,2,0,
Salernitana,Total,Total,24,0,1,0,—,—,—,—,25,0,—
Career total,Career total,Career total,523,114,55,14,116,24,21,9,715,161,—
