# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Sporting CP,1983–84,Primeira Divisão,21,3,5,0,—,—,3,0,—,—,29,3
Porto,1984–85,Primeira Divisão,30,6,7,2,—,—,2,1,4,1,43,10
Porto,1985–86,Primeira Divisão,26,7,4,1,—,—,3,0,2,0,35,8
Porto,1986–87,Primeira Divisão,25,10,4,1,—,—,9,2,2,2,40,15
Porto,Total,Total,81,23,15,4,—,—,14,3,8,3,118,33
Atlético Madrid,1987–88,La Liga,35,8,4,1,—,—,—,—,—,—,39,9
Atlético Madrid,1988–89,La Liga,28,5,7,0,—,—,2,1,—,—,37,6
Atlético Madrid,1989–90,La Liga,27,10,2,0,—,—,2,0,—,—,31,10
Atlético Madrid,1990–91,La Liga,26,3,6,1,—,—,2,0,—,—,34,4
Atlético Madrid,1991–92,La Liga,31,6,6,5,—,—,6,5,0,0,43,16
Atlético Madrid,1992–93,La Liga,16,6,0,0,—,—,3,1,2,0,21,7
Atlético Madrid,Total,Total,163,38,25,7,—,—,15,7,2,0,205,52
Benfica,1992–93,Primeira Divisão,11,3,2,2,—,—,0,0,—,—,13,5
Marseille,1993–94,Ligue 1,8,2,0,0,0,0,—,—,—,—,8,2
Reggiana,1993–94,Serie A,1,1,0,0,—,—,—,—,—,—,1,1
Reggiana,1994–95,Serie A,12,4,1,0,—,—,—,—,—,—,13,4
Reggiana,Total,Total,13,5,1,0,—,—,—,—,—,—,14,5
AC Milan,1995–96,Serie A,1,0,0,0,—,—,0,0,—,—,1,0
West Ham United,1996–97,Premier League,9,0,0,0,0,0,—,—,—,—,9,0
Atlético Madrid,1997–98,La Liga,10,0,0,0,—,—,0,0,—,—,10,0
Yokohama Flügels,1998,J.League,13,3,0,0,3,0,—,—,—,—,16,3
Career total,Career total,Career total,330,77,48,12,3,0,32,10,10,3,423,103
