# List of international goals scored by Bastian Schweinsteiger
No.,Date,Venue,Cap,Opponent,Score,Result,Competition
1,8 June 2005,"Borussia-Park, Mönchengladbach, Germany",14,Russia,1–1,2–2,Friendly
2,8 June 2005,"Borussia-Park, Mönchengladbach, Germany",14,Russia,2–1,2–2,Friendly
3,18 June 2005,"Rhein-Energie Stadion, Cologne, Germany",16,Tunisia,2–0,3–0,2005 FIFA Confederations Cup
4,29 June 2005,"Zentralstadion, Leipzig, Germany",18,Mexico,2–1,4–3,2005 FIFA Confederations Cup
5,22 March 2006,"Westfalenstadion, Dortmund, Germany",25,United States,1–0,4–1,Friendly
6,30 May 2006,"BayArena, Leverkusen, Germany",27,Japan,2–2,2–2,Friendly
7,2 June 2006,"Borussia-Park, Mönchengladbach, Germany",28,Colombia,2–0,3–0,Friendly
8,8 July 2006,"Gottlieb-Daimler-Stadion, Stuttgart, Germany",35,Portugal,1–0,3–1,2006 FIFA World Cup
9,8 July 2006,"Gottlieb-Daimler-Stadion, Stuttgart, Germany",35,Portugal,3–0,3–1,2006 FIFA World Cup
10,6 September 2006,"Stadio Olimpico, Serravalle, San Marino",38,San Marino,2–0,13–0,UEFA Euro 2008 qualifying
11,6 September 2006,"Stadio Olimpico, Serravalle, San Marino",38,San Marino,7–0,13–0,UEFA Euro 2008 qualifying
12,7 October 2006,"Ostseestadion, Rostock, Germany",39,Georgia,1–0,2–0,Friendly
13,11 October 2006,"Tehelné pole, Bratislava, Slovakia",40,Slovakia,3–0,4–1,UEFA Euro 2008 qualifying
14,19 June 2008,"St. Jakob-Park, Basel, Switzerland",54,Portugal,1–0,3–2,UEFA Euro 2008
15,25 June 2008,"St. Jakob-Park, Basel, Switzerland",55,Turkey,1–1,3–2,UEFA Euro 2008
16,20 August 2008,"Frankenstadion, Nuremberg, Germany",57,Belgium,1–0,2–0,Friendly
17,6 September 2008,"Rheinpark Stadion, Vaduz, Liechtenstein",58,Liechtenstein,4–0,6–0,2010 FIFA World Cup qualification
18,28 March 2009,"Zentralstadion, Leipzig, Germany",64,Liechtenstein,3–0,4–0,2010 FIFA World Cup qualification
19,12 August 2009,"Tofik Bakhramov Stadium, Baku, Azerbaijan",68,Azerbaijan,1–0,2–0,2010 FIFA World Cup qualification
20,3 June 2010,"Commerzbank-Arena, Frankfurt, Germany",74,Bosnia and Herzegovina,2–1,3–1,Friendly
21,3 June 2010,"Commerzbank-Arena, Frankfurt, Germany",74,Bosnia and Herzegovina,3–1,3–1,Friendly
22,10 August 2011,"Mercedes-Benz Arena, Stuttgart, Germany",88,Brazil,1–0,3–2,Friendly
23,7 October 2011,"Türk Telekom Arena, Istanbul, Turkey",90,Turkey,3–1,3–1,UEFA Euro 2012 qualifying
24,12 June 2016,"Stade Pierre-Mauroy, Villeneuve-d'Ascq, France",116,Ukraine,2–0,2–0,UEFA Euro 2016
