# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National Cup Apps,National Cup Goals,League Cup Apps,League Cup Goals,Continental Apps,Continental Goals,Total Apps,Total Goals
Newcastle United,1984–85,First Division,2,0,–,–,–,–,–,–,2,0
Newcastle United,1985–86,First Division,31,9,1,0,3,0,–,–,35,9
Newcastle United,1986–87,First Division,24,5,–,–,2,0,–,–,26,5
Newcastle United,1987–88,First Division,35,7,3,3,3,1,–,–,41,11
Newcastle United,Total,Total,92,21,4,3,8,1,–,–,104,25
Tottenham Hotspur,1988–89,First Division,32,6,–,–,5,1,–,–,37,7
Tottenham Hotspur,1989–90,First Division,34,6,–,–,4,1,–,–,38,7
Tottenham Hotspur,1990–91,First Division,26,7,6,6,5,6,–,–,37,19
Tottenham Hotspur,1991–92,First Division,0,0,0,0,0,0,0,0,0,0
Tottenham Hotspur,Total,Total,92,19,6,6,14,8,0,0,112,33
Lazio,1992–93,Serie A,22,4,4,0,–,–,–,–,26,4
Lazio,1993–94,Serie A,17,2,0,0,–,–,0,0,17,2
Lazio,1994–95,Serie A,4,0,0,0,–,–,0,0,4,0
Lazio,Total,Total,43,6,4,0,–,–,0,0,47,6
Rangers,1995–96,Scottish Premier Division,28,14,4,3,3,1,7,1,42,19
Rangers,1996–97,Scottish Premier Division,26,13,1,0,4,3,3,1,34,17
Rangers,1997–98,Scottish Premier Division,20,3,3,0,–,–,5,0,28,3
Rangers,Total,Total,74,30,8,3,7,4,15,2,104,39
Middlesbrough,1997–98,First Division,7,0,–,–,1,0,–,–,8,0
Middlesbrough,1998–99,Premier League,26,3,1,0,2,0,–,–,29,3
Middlesbrough,1999–2000,Premier League,8,1,1,0,2,0,–,–,11,1
Middlesbrough,Total,Total,41,4,2,0,5,0,–,–,48,4
Everton,2000–01,Premier League,14,0,–,–,1,0,–,–,15,0
Everton,2001–02,Premier League,18,1,4,0,1,0,–,–,23,1
Everton,Total,Total,32,1,4,0,2,0,–,–,38,1
Burnley,2001–02,First Division,6,0,–,–,–,–,–,–,6,0
Gansu Tianma,2003,China League One,4,2,–,–,–,–,–,–,4,2
Boston United,2004–05,League Two,4,0,–,–,1,0,–,–,5,0
Career total,Career total,Career total,388,83,28,12,37,13,15,2,468,110
