# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Messina,1982–83,Serie C2,26,3,—,—,—,—,—,—,26,3
Messina,1983–84,Serie C1,26,4,—,—,—,—,—,—,26,4
Messina,1984–85,Serie C1,31,4,—,—,—,—,—,—,31,4
Messina,1985–86,Serie C1,31,11,6,1,—,—,—,—,37,12
Messina,1986–87,Serie B,33,3,3,2,—,—,—,—,36,5
Messina,1987–88,Serie B,37,13,5,2,—,—,—,—,42,15
Messina,1988–89,Serie B,35,23,4,2,—,—,—,—,39,25
Messina,Total,Total,219,61,18,7,—,—,—,—,237,68
Juventus,1989–90,Serie A,30,15,8,2,12,4,—,—,50,21
Juventus,1990–91,Serie A,29,5,5,0,7,3,1,0,42,8
Juventus,1991–92,Serie A,31,6,9,1,—,—,—,—,40,7
Juventus,Total,Total,90,26,22,3,19,7,1,0,132,36
Inter Milan,1992–93,Serie A,21,6,2,1,—,—,—,—,23,7
Inter Milan,1993–94,Serie A,9,5,1,0,3,0,—,—,13,5
Inter Milan,Total,Total,30,11,3,1,3,0,—,—,36,12
Júbilo Iwata,1994,J1 League,18,9,1,0,4,5,—,—,23,14
Júbilo Iwata,1995,J1 League,34,31,0,0,—,—,—,—,34,31
Júbilo Iwata,1996,J1 League,23,15,0,0,8,3,—,—,31,18
Júbilo Iwata,1997,J1 League,3,1,0,0,2,1,—,—,5,2
Júbilo Iwata,Total,Total,78,56,1,0,14,9,—,—,93,65
Career total,Career total,Career total,417,154,44,11,36,16,1,0,498,181
