# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Lens II,2010–11,CFA,9,0,—,—,—,—,—,—,—,—,9,0
Lens,2010–11,Ligue 1,23,2,1,0,0,0,—,—,—,—,24,2
Real Madrid,2011–12,La Liga,9,1,2,1,—,—,4,0,0,0,15,2
Real Madrid,2012–13,La Liga,15,0,7,2,—,—,11,0,0,0,33,2
Real Madrid,2013–14,La Liga,14,0,2,0,—,—,7,0,—,—,23,0
Real Madrid,2014–15,La Liga,27,0,4,2,—,—,12,0,3,0,46,2
Real Madrid,2015–16,La Liga,26,0,0,0,—,—,7,0,—,—,33,0
Real Madrid,2016–17,La Liga,23,1,3,1,—,—,10,2,3,0,39,4
Real Madrid,2017–18,La Liga,27,0,1,0,—,—,11,0,5,0,44,0
Real Madrid,2018–19,La Liga,32,2,4,0,—,—,4,0,3,0,43,2
Real Madrid,2019–20,La Liga,32,2,1,1,—,—,8,0,2,0,43,3
Real Madrid,2020–21,La Liga,31,2,0,0,—,—,9,0,1,0,41,2
Real Madrid,Total,Total,236,8,24,7,—,—,83,2,17,0,360,17
Manchester United,2021–22,Premier League,22,1,2,0,0,0,5,0,—,—,29,1
Manchester United,2022–23,Premier League,24,0,3,0,2,0,5,0,—,—,34,0
Manchester United,2023–24,Premier League,22,1,5,0,1,0,4,0,—,—,32,1
Manchester United,Total,Total,68,2,10,0,3,0,14,0,—,—,95,2
Como,2024–25,Serie A,0,0,1,0,—,—,—,—,—,—,1,0
Career total,Career total,Career total,336,12,36,7,3,0,97,2,17,0,489,21
