# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
SKA Odesa,1979,,32,5,–,–,–,–,–,–,32,5
SKA Odesa,1980,,36,11,–,–,–,–,–,–,36,11
SKA Odesa,Total,Total,68,16,0,0,0,0,0,0,68,16
Chornomorets Odesa,1981,Soviet Top League,27,6,2,0,–,–,–,–,29,6
Chornomorets Odesa,1982,Soviet Top League,29,2,4,1,–,–,–,–,33,3
Chornomorets Odesa,1983,Soviet Top League,27,7,1,0,–,–,–,–,28,7
Chornomorets Odesa,1984,Soviet Top League,33,11,5,3,–,–,–,–,38,14
Chornomorets Odesa,Total,Total,116,26,12,4,0,0,0,0,128,30
Dynamo Kyiv,1985,Soviet Top League,31,10,4,2,4,1,–,–,39,13
Dynamo Kyiv,1986,Soviet Top League,22,10,1,0,8,4,1,0,32,14
Dynamo Kyiv,1987,Soviet Top League,23,8,6,3,6,1,2,1,37,13
Dynamo Kyiv,1988,Soviet Top League,27,9,4,1,–,–,–,–,31,10
Dynamo Kyiv,1989,Soviet Top League,18,3,4,1,–,–,–,–,22,4
Dynamo Kyiv,Total,Total,121,40,19,7,18,6,3,1,161,54
Borussia Mönchengladbach,1989–90,Bundesliga,14,4,1,0,–,–,–,–,15,4
Borussia Mönchengladbach,1990–91,Bundesliga,10,0,2,1,–,–,–,–,12,1
Borussia Mönchengladbach,Total,Total,24,4,3,1,0,0,0,0,27,5
Eintracht Braunschweig,1990–91,2. Bundesliga,9,3,–,–,–,–,–,–,9,3
Eintracht Braunschweig,1991–92,2. Bundesliga,29,10,1,1,–,–,–,–,30,11
Eintracht Braunschweig,1992–93,2. Bundesliga,–,–,–,–,–,–,–,–,–,–
Eintracht Braunschweig,1993–94,Oberliga Nord,26,8,1,0,–,–,4,0,31,8
Eintracht Braunschweig,Total,Total,64,21,2,1,0,0,4,0,70,22
Chornomorets,1995–96,Ukrainian Premier League,3,1,–,–,–,–,–,–,3,1
Metalurh Mariupol,1995–96,Ukrainian Second League,1,0,–,–,–,–,–,–,1,0
Metalurh Mariupol,1996–97,Ukrainian First League,4,4,–,–,–,–,–,–,4,4
Metalurh Mariupol,Total,Total,5,4,0,0,0,0,0,0,5,4
Career total,Career total,Career total,401,112,36,13,18,6,7,1,462,132
