# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
West Ham United,1995–96,Premier League,2,0,0,0,0,0,—,—,—,—,2,0
West Ham United,1996–97,Premier League,13,0,1,0,2,0,—,—,—,—,16,0
West Ham United,1997–98,Premier League,31,5,6,1,5,4,—,—,—,—,42,10
West Ham United,1998–99,Premier League,38,5,1,0,2,1,—,—,—,—,41,6
West Ham United,1999–2000,Premier League,34,7,1,0,4,3,10,4,—,—,49,14
West Ham United,2000–01,Premier League,30,7,4,1,3,1,—,—,—,—,37,9
West Ham United,Total,Total,148,24,13,2,16,9,10,4,—,—,187,39
Swansea City (loan),1995–96,Second Division,9,1,—,—,—,—,—,—,2,0,11,1
Chelsea,2001–02,Premier League,37,5,8,1,4,0,4,1,—,—,53,7
Chelsea,2002–03,Premier League,38,6,5,1,3,0,2,1,—,—,48,8
Chelsea,2003–04,Premier League,38,10,4,1,2,0,14,4,—,—,58,15
Chelsea,2004–05,Premier League,38,13,2,0,6,2,12,4,—,—,58,19
Chelsea,2005–06,Premier League,35,16,5,2,1,0,8,2,1,0,50,20
Chelsea,2006–07,Premier League,37,11,7,6,6,3,11,1,1,0,62,21
Chelsea,2007–08,Premier League,24,10,1,2,3,4,11,4,1,0,40,20
Chelsea,2008–09,Premier League,37,12,7,3,2,2,11,3,—,—,57,20
Chelsea,2009–10,Premier League,36,22,6,3,1,0,7,1,1,1,51,27
Chelsea,2010–11,Premier League,24,10,3,3,0,0,4,0,1,0,32,13
Chelsea,2011–12,Premier League,30,11,5,2,2,0,12,3,—,—,49,16
Chelsea,2012–13,Premier League,29,15,4,2,3,0,10,0,4,0,50,17
Chelsea,2013–14,Premier League,26,6,1,0,1,1,11,1,1,0,40,8
Chelsea,Total,Total,429,147,58,26,34,12,117,25,10,1,648,211
Manchester City,2014–15,Premier League,32,6,2,0,1,2,3,0,—,—,38,8
New York City FC,2015,Major League Soccer,10,3,—,—,—,—,—,—,—,—,10,3
New York City FC,2016,Major League Soccer,19,12,0,0,—,—,—,—,2,0,21,12
New York City FC,Total,Total,29,15,0,0,—,—,—,—,2,0,31,15
Career total,Career total,Career total,647,193,73,28,51,23,130,29,14,1,915,274
