# List of international goals scored by Geoff Hurst
No.,Date,Venue,Opponent,Score,Result,Competition
1,2 April 1966,"Hampden Park, Glasgow, Scotland",Scotland,1–0,4–3,1965–66 British Home Championship
2,23 July 1966,"Wembley Stadium, London, England",Argentina,1–0,1–0,1966 FIFA World Cup
3,30 July 1966,"Wembley Stadium, London, England",West Germany,1–1,4–2 (a.e.t),1966 FIFA World Cup Final
4,30 July 1966,"Wembley Stadium, London, England",West Germany,3–2,4–2 (a.e.t),1966 FIFA World Cup Final
5,30 July 1966,"Wembley Stadium, London, England",West Germany,4–2,4–2 (a.e.t),1966 FIFA World Cup Final
6,16 November 1966,"Wembley Stadium, London, England",Wales,1–0,5–1,1966–67 British Home Championship
7,16 November 1966,"Wembley Stadium, London, England",Wales,2–0,5–1,1966–67 British Home Championship
8,15 April 1967,"Wembley Stadium, London, England",Scotland,2–3,2–3,1966–67 British Home Championship
9,22 November 1967,"Wembley Stadium, London, England",Northern Ireland,1–0,2–0,1967–68 British Home Championship
10,8 June 1968,"Stadio Olimpico, Rome, Italy",Soviet Union,2–0,2–0,UEFA Euro 1968
11,11 December 1968,"Wembley Stadium, London, England",Bulgaria,1–1,1–1,Friendly
12,12 March 1969,"Wembley Stadium, London, England",France,2–0,5–0,Friendly
13,12 March 1969,"Wembley Stadium, London, England",France,3–0,5–0,Friendly
14,12 March 1969,"Wembley Stadium, London, England",France,5–0,5–0,Friendly
15,3 May 1969,"Windsor Park, Belfast, Northern Ireland",Northern Ireland,3–1,3–1,1968–69 British Home Championship
16,10 May 1969,"Wembley Stadium, London, England",Scotland,2–0,4–1,1968–69 British Home Championship
17,10 May 1969,"Wembley Stadium, London, England",Scotland,3–1,4–1,1968–69 British Home Championship
18,8 June 1969,"Estadio Centenario, Montevideo, Uruguay",Uruguay,2–1,2–1,Friendly
19,25 February 1970,"Constant Vanden Stock Stadium, Brussels, Belgium",Belgium,2–0,3–1,Friendly
20,21 April 1970,"Wembley Stadium, London, England",Northern Ireland,2–1,3–1,1969–70 British Home Championship
21,2 June 1970,"Estadio Jalisco, Guadalajara, Mexico",Romania,1–0,1–0,1970 FIFA World Cup
22,21 April 1971,"Wembley Stadium, London, England",Greece,2–0,3–0,UEFA Euro 1972 qualification
23,13 October 1971,"St. Jakob-Park, Basel, Switzerland",Switzerland,1–0,3–2,UEFA Euro 1972 qualification
24,1 December 1971,"Karaiskakis Stadium, Athens, Greece",Greece,1–0,2–0,UEFA Euro 1972 qualification
