# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Nordstern Basel,2004–05,2. Liga Interregional,0,0,1,0,—,—,—,—,1,0
Basel II,2005–06,1. Liga,21,9,—,—,—,—,—,—,21,9
Basel,2005–06,Swiss Super League,1,0,1,0,1,0,—,—,3,0
Basel,2006–07,Swiss Super League,33,11,5,0,9,0,—,—,47,11
Basel,Total,Total,34,11,6,0,10,0,—,—,50,11
Schalke 04,2007–08,Bundesliga,29,3,3,1,7,0,3,0,42,4
Schalke 04,2008–09,Bundesliga,23,1,4,1,7,1,—,—,34,3
Schalke 04,2009–10,Bundesliga,29,7,4,0,—,—,—,—,33,7
Schalke 04,2010–11,Bundesliga,16,1,4,1,5,0,1,0,26,2
Schalke 04,Total,Total,97,12,15,3,19,1,4,0,135,16
Sevilla,2010–11,La Liga,13,5,1,0,2,0,—,—,16,5
Sevilla,2011–12,La Liga,36,0,3,1,0,0,—,—,39,1
Sevilla,2012–13,La Liga,34,8,8,3,—,—,—,—,42,11
Sevilla,2013–14,La Liga,34,12,0,0,18,3,—,—,52,15
Sevilla,Total,Total,117,25,12,4,20,3,—,—,149,32
Barcelona,2014–15,La Liga,32,5,7,1,12,2,—,—,51,8
Barcelona,2015–16,La Liga,36,7,6,0,10,2,5,0,57,9
Barcelona,2016–17,La Liga,32,8,8,1,9,0,2,0,51,9
Barcelona,2017–18,La Liga,35,1,8,2,10,1,2,0,55,4
Barcelona,2018–19,La Liga,34,3,7,1,12,1,1,0,54,5
Barcelona,2019–20,La Liga,31,1,3,0,7,0,1,0,42,1
Barcelona,Total,Total,200,25,39,5,60,6,11,0,310,36
Sevilla,2020–21,La Liga,37,4,4,2,8,2,1,0,50,8
Sevilla,2021–22,La Liga,35,4,3,0,8,3,—,—,46,7
Sevilla,2022–23,La Liga,31,1,5,1,15,0,—,—,51,2
Sevilla,2023–24,La Liga,18,2,2,0,6,0,1,0,27,2
Sevilla,Total,Total,121,11,14,3,37,5,2,0,174,19
Al-Shabab,2023–24,Saudi Pro League,8,1,—,—,—,—,—,—,8,1
Hajduk Split,2024–25,HNL,35,2,1,0,3,0,—,—,39,2
Career total,Career total,Career total,633,96,88,15,149,15,17,0,887,126
