# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Dukla Prague,1991–92,Czechoslovak First League,19,3,,,—,—,—,—,19,3
Sparta Prague,1992–93,Czechoslovak First League,17,0,,,5,0,—,—,22,0
Sparta Prague,1993–94,Czech First League,23,3,,,4,0,—,—,27,3
Sparta Prague,1994–95,Czech First League,27,6,,,2,0,—,—,29,6
Sparta Prague,1995–96,Czech First League,30,14,,,8,4,—,—,38,19
Sparta Prague,Total,Total,97,23,,,19,5,0,0,116,28
Lazio,1996–97,Serie A,32,7,3.0,1.0,3,2,—,—,38,10
Lazio,1997–98,Serie A,26,11,6.0,2.0,11,2,—,—,43,15
Lazio,1998–99,Serie A,21,1,4.0,0.0,8,4,1,1,34,6
Lazio,1999–2000,Serie A,28,5,6.0,1.0,12,1,1,0,47,7
Lazio,2000–01,Serie A,31,9,3.0,1.0,10,3,1,0,45,13
Lazio,Total,Total,138,33,22.0,5.0,44,12,3,1,207,51
Juventus,2001–02,Serie A,32,4,4.0,0.0,7,0,—,—,38,10
Juventus,2002–03,Serie A,29,9,1.0,0.0,15,5,1,0,43,14
Juventus,2003–04,Serie A,30,6,4.0,0.0,6,2,1,0,34,6
Juventus,2004–05,Serie A,27,7,1.0,0.0,10,3,—,—,47,7
Juventus,2005–06,Serie A,33,5,4.0,0.0,8,2,1,0,45,13
Juventus,2006–07,Serie B,33,11,3.0,1.0,—,—,—,—,36,12
Juventus,2007–08,Serie A,31,2,2.0,1.0,—,—,—,—,33,3
Juventus,2008–09,Serie A,32,7,3.0,0.0,9,0,—,—,44,7
Juventus,Total,Total,247,51,22.0,2.0,55,12,3,0,327,65
Career total,Career total,Career total,501,110,44.0,7.0,118,29,6,1,669,147
