# List of international goals scored by Luís Figo
No.,Date,Venue,Opponent,Score,Result,Competition
1,11 November 1992,"Stade de Paris, Paris, France",Bulgaria,1–1,2–1,Friendly
2,9 October 1994,"Daugava Stadium, Riga, Latvia",Latvia,3–0,3–1,UEFA Euro 1996 qualification
3,13 November 1994,"Estádio José Alvalade, Lisbon, Portugal",Austria,1–0,1–0,UEFA Euro 1996 qualification
4,3 June 1995,"Estádio das Antas, Porto, Portugal",Latvia,1–0,3–2,UEFA Euro 1996 qualification
5,19 June 1996,"City Ground, Nottingham, England",Croatia,1–0,3–0,UEFA Euro 1996
6,9 October 1996,"Qemal Stafa Stadium, Tirana, Albania",Albania,1–0,3–0,1998 FIFA World Cup qualification
7,7 June 1997,"Estádio das Antas, Porto, Portugal",Albania,2–0,2–0,1998 FIFA World Cup qualification
8,20 August 1997,"Estádio do Bonfim, Setúbal, Portugal",Armenia,2–0,3–1,1998 FIFA World Cup qualification
9,31 March 1999,"Rheinpark Stadion, Vaduz, Liechtenstein",Liechtenstein,2–0,5–0,UEFA Euro 2000 qualification
10,18 August 1999,"Estádio Nacional, Lisbon, Portugal",Andorra,3–0,4–0,Friendly
11,4 September 1999,"Tofiq Bahramov Republican Stadium, Baku, Azerbaijan",Azerbaijan,1–1,1–1,UEFA Euro 2000 qualification
12,8 September 1999,"Stadionul Steaua, Bucharest, Romania",Romania,1–1,1–1,UEFA Euro 2000 qualification
13,29 March 2000,"Estádio Dr. Magalhães Pessoa, Leiria, Portugal",Denmark,2–1,2–1,Friendly
14,2 June 2000,"Estádio Municipal de Chaves, Chaves, Portugal",Wales,1–0,3–0,Friendly
15,12 June 2000,"Philips Stadion, Eindhoven, Netherlands",England,1–2,3–2,UEFA Euro 2000
16,16 August 2000,"Estádio do Fontelo, Viseu, Portugal",Lithuania,1–0,5–1,Friendly
17,3 September 2000,"Kadriorg Stadium, Tallinn, Estonia",Estonia,2–0,3–1,2002 FIFA World Cup qualification
18,15 November 2000,"Estádio 1º de Maio, Braga, Portugal",Israel,1–0,2–1,Friendly
19,28 February 2001,"Estádio dos Barreiros, Funchal, Portugal",Andorra,2–0,3–0,2002 FIFA World Cup qualification
20,28 February 2001,"Estádio dos Barreiros, Funchal, Portugal",Andorra,3–0,3–0,2002 FIFA World Cup qualification
21,28 March 2001,"Estádio das Antas, Porto, Portugal",Netherlands,2–2,2–2,2002 FIFA World Cup qualification
22,2 June 2001,"Lansdowne Road, Dublin, Republic of Ireland",Republic of Ireland,1–1,1–1,2002 FIFA World Cup qualification
23,15 August 2001,"Estádio de São Luís, Faro, Portugal",Moldova,1–0,3–0,Friendly
24,15 August 2001,"Estádio de São Luís, Faro, Portugal",Moldova,2–0,3–0,Friendly
25,15 August 2001,"Estádio de São Luís, Faro, Portugal",Moldova,3–0,3–0,Friendly
26,6 October 2001,"Estádio da Luz, Lisbon, Portugal",Estonia,5–0,5–0,2002 FIFA World Cup qualification
27,14 November 2001,"Estádio José Alvalade, Lisbon, Portugal",Angola,1–1,5–1,Friendly
28,2 April 2003,"Stade olympique de la Pontaise, Lausanne, Switzerland",Macedonia,1–0,1–0,Friendly
29,11 October 2003,"Estádio do Restelo, Lisbon, Portugal",Albania,1–0,5–3,Friendly
30,19 November 2003,"Estádio Dr. Magalhães Pessoa, Leiria, Portugal",Kuwait,3–0,8–0,Friendly
31,29 May 2004,"Estádio Municipal de Águeda, Águeda, Portugal",Luxembourg,1–0,3–0,Friendly
32,3 June 2006,"Stade Saint-Symphorien, Metz, France",Luxembourg,3–0,3–0,Friendly
