# Table 3
International appearances and goals #,International appearances and goals Date,International appearances and goals Venue,International appearances and goals Opponent,International appearances and goals Result,International appearances and goals Competition,International appearances and goals Goal(s)
1959,1959,1959,1959,1959,1959,1959.0
1,17 May,"Estadio Nacional, Lima",Peru,1–4,Friendly,1.0
2,24 May,"Estadio Olímpico Universitario, Mexico City",Mexico,1–2,Friendly,
3,28 May,"Wrigley Field, Los Angeles",United States,8–1,Friendly,
4,17 October,"Ninian Park, Cardiff",Wales,1–1,1959–60 British Home Championship,1.0
5,28 October,"Wembley Stadium, London",Sweden,2–3,Friendly,
1960,1960,1960,1960,1960,1960,1960.0
6,11 May,"Wembley Stadium, London",Yugoslavia,3–3,Friendly,1.0
7,15 May,"Santiago Bernabéu Stadium, Madrid",Spain,0–3,Friendly,
8,8 October,"Windsor Park, Belfast",Northern Ireland,5–2,1960–61 British Home Championship,2.0
9,19 October,"Stade Municipal, Luxembourg City",Luxembourg,8–0,1962 World Cup qualifier,3.0
10,26 October,"Wembley Stadium, London",Spain,4–2,Friendly,1.0
11,23 November,"Wembley Stadium, London",Wales,5–1,1960–61 British Home Championship,2.0
1961,1961,1961,1961,1961,1961,1961.0
12,15 April,"Wembley Stadium, London",Scotland,9–3,1960–61 British Home Championship,3.0
13,21 May,"Estádio Nacional, Oeiras",Portugal,1–1,1962 World Cup qualifier,
14,24 May,"Stadio Olimpico, Rome",Italy,2–3,Friendly,1.0
15,27 May,"Praterstadion, Vienna",Austria,1–3,Friendly,1.0
1962,1962,1962,1962,1962,1962,1962.0
16,14 April,"Hampden Park, Glasgow",Scotland,0–2,1961–62 British Home Championship,
17,9 May,"Wembley Stadium, London",Switzerland,3–1,Friendly,
18,20 May,"Estadio Nacional, Lima",Peru,4–0,Friendly,3.0
19,31 May,"Estadio Braden, Rancagua",Hungary,1–2,1962 FIFA World Cup,
20,2 June,"Estadio Braden, Rancagua",Argentina,3–1,1962 FIFA World Cup,1.0
21,7 June,"Estadio Braden, Rancagua",Bulgaria,0–0,1962 FIFA World Cup,
22,10 June,"Estadio Sausalito, Viña del Mar",Brazil,1–3,1962 FIFA World Cup,
23,3 October,"Hillsborough Stadium, Sheffield",France,1–1,1964 European Nations' Cup qualifying,
24,20 October,"Windsor Park, Belfast",Northern Ireland,3–1,1962–63 British Home Championship,1.0
25,21 November,"Wembley Stadium, London",Wales,4–0,1962–63 British Home Championship,1.0
1963,1963,1963,1963,1963,1963,1963.0
26,27 February,"Parc des Princes, Paris",France,2–5,1964 European Nations' Cup qualifying,
27,6 April,"Wembley Stadium, London",Scotland,1–2,1962–63 British Home Championship,
28,8 May,"Wembley Stadium, London",Brazil,1–1,Friendly,
29,29 May,"Tehelné pole, Bratislava",Czechoslovakia,4–2,Friendly,2.0
30,5 June,"St. Jakob Stadium, Basel",Switzerland,8–1,Friendly,
31,12 October,"Ninian Park, Cardiff",Wales,4–0,1963–64 British Home Championship,1.0
32,23 October,"Wembley Stadium, London",Rest of World,2–1,Friendly,1.0
33,20 November,"Wembley Stadium, London",Northern Ireland,8–3,1963–64 British Home Championship,4.0
1964,1964,1964,1964,1964,1964,1964.0
34,6 May,"Wembley Stadium, London",Uruguay,2–1,Friendly,
35,17 May,"Estádio Nacional, Lisbon",Portugal,4–3,Friendly,
36,24 May,"Dalymount Park, Dublin",Republic of Ireland,3–1,Friendly,1.0
37,30 May,"Estádio do Maracanã, Rio de Janeiro",Brazil,1–5,Taça das Nações,1.0
38,4 June,"Pacaembu Stadium, São Paulo",Portugal,1–1,Taça das Nações,
39,6 June,"Estádio do Maracanã, Rio de Janeiro",Argentina,0–1,Taça das Nações,
40,3 October,"Windsor Park, Belfast",Northern Ireland,4–3,1964–65 British Home Championship,3.0
41,21 October,"Wembley Stadium, London",Belgium,2–2,Friendly,
42,9 December,"Olympic Stadium, Amsterdam",Netherlands,1–1,Friendly,1.0
1965,1965,1965,1965,1965,1965,1965.0
43,10 April,"Wembley Stadium, London",Scotland,2–2,1964–65 British Home Championship,1.0
44,5 May,"Wembley Stadium, London",Hungary,1–0,Friendly,1.0
45,9 May,"Red Star Stadium, Belgrade",Yugoslavia,1–1,Friendly,
46,2 October,"Ninian Park, Cardiff",Wales,0–0,1965–66 British Home Championship,
47,20 October,"Wembley Stadium, London",Austria,2–3,Friendly,
1966,1966,1966,1966,1966,1966,1966.0
48,4 May,"Wembley Stadium, London",Yugoslavia,2–0,Friendly,1.0
49,29 June,"Ullevaal Stadion, Oslo",Norway,6–1,Friendly,4.0
50,3 July,"Idrætsparken, Copenhagen",Denmark,2–0,Friendly,
51,5 July,"Silesian Stadium, Chorzów",Poland,1–0,Friendly,
52,11 July,"Wembley Stadium, London",Uruguay,0–0,1966 FIFA World Cup,
53,16 July,"Wembley Stadium, London",Mexico,2–0,1966 FIFA World Cup,
54,20 July,"Wembley Stadium, London",France,2–0,1966 FIFA World Cup,
1967,1967,1967,1967,1967,1967,1967.0
55,15 April,"Wembley Stadium, London",Scotland,2–3,1966–67 British Home Championship,
56,24 May,"Wembley Stadium, London",Spain,2–0,Friendly,1.0
57,27 May,"Praterstadion, Vienna",Austria,1–0,Friendly,
