# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Marsonia,2004–05,Druga HNL,23,14,—,—,—,—,—,—,23,14
NK Zagreb,2005–06,Prva HNL,28,3,—,—,—,—,—,—,28,3
NK Zagreb,2006–07,Prva HNL,23,11,4,3,—,—,—,—,27,14
NK Zagreb,2007–08,Prva HNL,—,—,—,—,2,0,—,—,2,0
NK Zagreb,Total,Total,51,14,4,3,2,0,—,—,57,17
Dinamo Zagreb,2007–08,Prva HNL,29,12,8,5,10,3,—,—,47,20
Dinamo Zagreb,2008–09,Prva HNL,28,16,5,5,10,3,—,—,43,24
Dinamo Zagreb,2009–10,Prva HNL,24,14,3,0,10,3,—,—,37,17
Dinamo Zagreb,2010–11,Prva HNL,—,—,—,—,1,2,—,—,1,2
Dinamo Zagreb,Total,Total,81,42,16,10,31,11,—,—,128,63
VfL Wolfsburg,2010–11,Bundesliga,24,8,3,0,—,—,—,—,27,8
VfL Wolfsburg,2011–12,Bundesliga,32,12,1,0,—,—,—,—,33,12
VfL Wolfsburg,Total,Total,56,20,4,0,—,—,—,—,60,20
Bayern Munich,2012–13,Bundesliga,24,15,5,3,10,3,1,1,40,22
Bayern Munich,2013–14,Bundesliga,30,18,4,4,10,3,4,1,48,26
Bayern Munich,Total,Total,54,33,9,7,20,6,5,2,88,48
Atlético Madrid,2014–15,La Liga,28,12,3,2,10,5,2,1,43,20
Juventus,2015–16,Serie A,27,10,3,0,5,2,1,1,36,13
Juventus,2016–17,Serie A,34,7,4,1,11,3,1,0,50,11
Juventus,2017–18,Serie A,32,5,4,1,6,4,1,0,43,10
Juventus,2018–19,Serie A,25,9,0,0,8,1,0,0,33,10
Juventus,Total,Total,118,31,11,2,30,10,3,1,162,44
Al-Duhail,2019–20,Qatar Stars League,5,0,1,0,2,1,2,1,10,2
AC Milan,2020–21,Serie A,10,0,0,0,1,0,—,—,11,0
Career total,Career total,Career total,426,166,48,24,96,33,12,5,582,228
