# List of international goals scored by Kylian Mbappé
No.,Date,Venue,Cap,Opponent,Score,Result,Competition,Ref.
1,31 August 2017,"Stade de France, Saint-Denis, France",5,Netherlands,4–0,4–0,2018 FIFA World Cup qualification,
2,27 March 2018,"Krestovsky Stadium, Saint Petersburg, Russia",12,Russia,1–0,3–1,Friendly,
3,27 March 2018,"Krestovsky Stadium, Saint Petersburg, Russia",12,Russia,3–1,3–1,Friendly,
4,9 June 2018,"Parc Olympique Lyonnais, Décines-Charpieu, France",15,United States,1–1,1–1,Friendly,
5,21 June 2018,"Ekaterinburg Arena, Yekaterinburg, Russia",17,Peru,1–0,1–0,2018 FIFA World Cup,
6,30 June 2018,"Kazan Arena, Kazan, Russia",19,Argentina,3–2,4–3,2018 FIFA World Cup,
7,30 June 2018,"Kazan Arena, Kazan, Russia",19,Argentina,4–2,4–3,2018 FIFA World Cup,
8,15 July 2018,"Luzhniki Stadium, Moscow, Russia",22,Croatia,4–1,4–2,2018 FIFA World Cup,
9,9 September 2018,"Stade de France, Saint-Denis, France",24,Netherlands,1–0,2–1,2018–19 UEFA Nations League A,
10,11 October 2018,"Stade de Roudourou, Guingamp, France",25,Iceland,2–2,2–2,Friendly,
11,22 March 2019,"Zimbru Stadium, Chișinău, Moldova",29,Moldova,4–0,4–1,UEFA Euro 2020 qualifying,
12,25 March 2019,"Stade de France, Saint-Denis, France",30,Iceland,3–0,4–0,UEFA Euro 2020 qualifying,
13,11 June 2019,"Estadi Nacional, Andorra la Vella, Andorra",33,Andorra,1–0,4–0,UEFA Euro 2020 qualifying,
14,5 September 2020,"Friends Arena, Solna, Sweden",35,Sweden,1–0,1–0,2020–21 UEFA Nations League A,
15,7 October 2020,"Stade de France, Saint-Denis, France",36,Ukraine,6–1,7–1,Friendly,
16,14 October 2020,"Stadion Maksimir, Zagreb, Croatia",38,Croatia,2–1,2–1,2020–21 UEFA Nations League A,
17,2 June 2021,"Allianz Riviera, Nice, France",43,Wales,1–0,3–0,Friendly,
18,7 October 2021,"Juventus Stadium, Turin, Italy",50,Belgium,2–2,3–2,2021 UEFA Nations League Finals,
19,10 October 2021,"San Siro, Milan, Italy",51,Spain,2–1,2–1,2021 UEFA Nations League Finals,
20,13 November 2021,"Parc des Princes, Paris, France",52,Kazakhstan,1–0,8–0,2022 FIFA World Cup qualification,
21,13 November 2021,"Parc des Princes, Paris, France",52,Kazakhstan,2–0,8–0,2022 FIFA World Cup qualification,
22,13 November 2021,"Parc des Princes, Paris, France",52,Kazakhstan,3–0,8–0,2022 FIFA World Cup qualification,
23,13 November 2021,"Parc des Princes, Paris, France",52,Kazakhstan,8–0,8–0,2022 FIFA World Cup qualification,
24,16 November 2021,"Helsinki Olympic Stadium, Helsinki, Finland",53,Finland,2–0,2–0,2022 FIFA World Cup qualification,
25,29 March 2022,"Stade Pierre-Mauroy, Villeneuve-d'Ascq, France",54,South Africa,1–0,5–0,Friendly,
26,29 March 2022,"Stade Pierre-Mauroy, Villeneuve-d'Ascq, France",54,South Africa,3–0,5–0,Friendly,
27,10 June 2022,"Ernst-Happel-Stadion, Vienna, Austria",56,Austria,1–1,1–1,2022–23 UEFA Nations League A,
28,22 September 2022,"Stade de France, Saint-Denis, France",58,Austria,1–0,2–0,2022–23 UEFA Nations League A,
29,22 November 2022,"Al Janoub Stadium, Al Wakrah, Qatar",60,Australia,3–1,4–1,2022 FIFA World Cup,
30,26 November 2022,"Stadium 974, Doha, Qatar",61,Denmark,1–0,2–1,2022 FIFA World Cup,
31,26 November 2022,"Stadium 974, Doha, Qatar",61,Denmark,2–1,2–1,2022 FIFA World Cup,
32,4 December 2022,"Al Thumama Stadium, Doha, Qatar",63,Poland,2–0,3–1,2022 FIFA World Cup,
33,4 December 2022,"Al Thumama Stadium, Doha, Qatar",63,Poland,3–0,3–1,2022 FIFA World Cup,
34,18 December 2022,"Lusail Stadium, Lusail, Qatar",66,Argentina,1–2,"3–3 (a.e.t.), (2–4 p)",2022 FIFA World Cup,
35,18 December 2022,"Lusail Stadium, Lusail, Qatar",66,Argentina,2–2,"3–3 (a.e.t.), (2–4 p)",2022 FIFA World Cup,
36,18 December 2022,"Lusail Stadium, Lusail, Qatar",66,Argentina,3–3,"3–3 (a.e.t.), (2–4 p)",2022 FIFA World Cup,
37,24 March 2023,"Stade de France, Saint-Denis, France",67,Netherlands,3–0,4–0,UEFA Euro 2024 qualifying,
38,24 March 2023,"Stade de France, Saint-Denis, France",67,Netherlands,4–0,4–0,UEFA Euro 2024 qualifying,
39,16 June 2023,"Estádio Algarve, Almancil, Portugal",69,Gibraltar,2–0,3–0,UEFA Euro 2024 qualifying,
40,19 June 2023,"Stade de France, Saint-Denis, France",70,Greece,1–0,1–0,UEFA Euro 2024 qualifying,
41,13 October 2023,"Johan Cruyff Arena, Amsterdam, Netherlands",72,Netherlands,1–0,2–1,UEFA Euro 2024 qualifying,
42,13 October 2023,"Johan Cruyff Arena, Amsterdam, Netherlands",72,Netherlands,2–0,2–1,UEFA Euro 2024 qualifying,
43,17 October 2023,"Stade Pierre-Mauroy, Villeneuve-d'Ascq, France",73,Scotland,3–1,4–1,Friendly,
44,18 November 2023,"Allianz Riviera, Nice, France",74,Gibraltar,4–0,14–0,UEFA Euro 2024 qualifying,
45,18 November 2023,"Allianz Riviera, Nice, France",74,Gibraltar,11–0,14–0,UEFA Euro 2024 qualifying,
46,18 November 2023,"Allianz Riviera, Nice, France",74,Gibraltar,12–0,14–0,UEFA Euro 2024 qualifying,
47,5 June 2024,"Stade Saint-Symphorien, Longeville-lès-Metz, France",78,Luxembourg,3–0,3–0,Friendly,
48,25 June 2024,"Westfalenstadion, Dortmund, Germany",81,Poland,1–0,1–1,UEFA Euro 2024,
49,5 June 2025,"MHPArena, Stuttgart, Germany",89,Spain,1–4,4–5,2025 UEFA Nations League Finals,
