# Table 2
Cap #,Date,Location,Type of match,Result,Opponent,Minutes played,Goals,Notes
1,28 Sep 1926,Prague,Friendly,2–1,Czechoslovakia,90,1,
2,10 Oct 1926,Vienna,Friendly,7–1,Switzerland,90,2,
3,7 Nov 1926,Vienna,Friendly,3–1,Sweden,90,1,
4,20 Mar 1927,Vienna,Friendly,1–2,Czechoslovakia,90,0,
5,10 Apr 1927,Vienna,Friendly,6–0,Hungary,48,0,
6,6 May 1928,Vienna,Friendly,3–0,Yugoslavia,90,0,
7,28 Oct 1928,Vienna,Central European International Cup,2–0,Switzerland,90,0,
8,23 Mar 1930,Prague,Friendly,2–2,Czechoslovakia,90,0,
9,16 May 1931,Vienna,Friendly,5–0,Scotland,90,1,
10,24 May 1931,Berlin,Friendly,6–0,Germany,90,0,
11,14 Sep 1931,Vienna,Friendly,5-0,Germany,90,3,
12,4 Oct 1931,Budapest,Central European International Cup,2–2,Hungary,90,0,
13,29 Nov 1931,Basel,Central European International Cup,8–1,Switzerland,90,1,
14,20 Mar 1932,Vienna,Central European International Cup,2–1,Italy,90,2,
15,24 Apr 1932,Vienna,Friendly,8–2,Hungary,90,3,
16,22 May 1932,Prague,Central European International Cup,1–1,Czechoslovakia,90,1,
17,17 Jul 1932,Stockholm,Friendly,4–3,Sweden,90,1,
18,2 Oct 1932,Budapest,Friendly,3–2,Hungary,90,0,
19,23 Oct 1932,Vienna,Central European International Cup,3–1,Switzerland,90,0,
20,7 Dec 1932,London,Friendly,3–4,England,90,1,
21,12 Feb 1933,Paris,Friendly,4–0,France,90,1,
22.,9 April 1933,Vienna,Friendly,1–2,Czechoslovakia,90,0,
23,30 Apr 1933,Budapest,Friendly,1–1,Hungary,90,0,
24,11 Jun 1933,Vienna,Friendly,4–1,Belgium,90,1,
25,17 Sep 1933,Prague,Friendly,3–3,Czechoslovakia,90,2,
26,1 Oct 1933,Vienna,Friendly,2–2,Hungary,90,0,
27,29 Nov 1933,Glasgow,Friendly,2–2,Scotland,90,0,
28,10 Dec 1933,Amsterdam,Friendly,1–0,Netherlands,90,0,
29,15 Apr 1934,Vienna,Friendly,5–2,Hungary,90,0,
30,25 Apr 1934,Vienna,World Cup qualification,6–1,Bulgaria,90,1,
31,27 May 1934,Turin,1934 FIFA World Cup,3–2,France,120,1,
32,31 May 1934,Bologna,1934 FIFA World Cup,2–1,Hungary,90,0,
33,3 Jun 1934,Milan,1934 FIFA World Cup,0–1,Italy,90,0,
34,23 Sep 1934,Vienna,Central European International Cup,2–2,Czechoslovakia,90,0,
35,"7 Oct, 1934",Budapest,Central European International Cup,1–3,Hungary,90,0,
36,24 Mar 1935,Vienna,Central European International Cup,0–2,Italy,90,0,
37,6 May 1936,Vienna,Friendly,2–1,England,90,0,
38,17 May 1936,Rome,Friendly,2–2,Italy,90,0,
39,27 Sep 1936,Budapest,Central European International Cup,3–5,Hungary,90,2,
40,21 Mar 1937,Vienna,Central European International Cup,2–0,Italy,73,0,
41,9 May 1937,Vienna,Friendly,1–1,Scotland,90,0,
42,23 May 1937,Budapest,Friendly,2–2,Hungary,90,0,
43,19 Sep 1937,Vienna,Central European International Cup,4–3,Switzerland,90,1,
Totals,,,,,,3841,26,
==,3 Apr 1938,Vienna,Friendly,2–0,Germany,90,1,
