# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Coppa Italia Apps,Coppa Italia Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
AC Milan,1984–85,Serie A,1,0,0,0,–,–,–,–,1,0
AC Milan,1985–86,Serie A,27,0,6,0,6,0,1,0,40,0
AC Milan,1986–87,Serie A,29,1,7,0,–,–,1,0,37,1
AC Milan,1987–88,Serie A,26,2,1,0,2,0,–,–,29,2
AC Milan,1988–89,Serie A,26,0,7,0,7,0,–,–,40,0
AC Milan,1989–90,Serie A,30,1,6,0,8,0,3,0,47,1
AC Milan,1990–91,Serie A,26,4,3,0,4,0,2,0,35,4
AC Milan,1991–92,Serie A,31,3,7,1,–,–,–,–,38,4
AC Milan,1992–93,Serie A,31,2,8,0,10,1,1,0,50,3
AC Milan,1993–94,Serie A,30,1,2,0,10,1,4,0,46,2
AC Milan,1994–95,Serie A,29,2,1,0,11,0,2,0,43,2
AC Milan,1995–96,Serie A,30,3,3,0,8,0,–,–,41,3
AC Milan,1996–97,Serie A,26,1,3,0,6,0,1,0,36,1
AC Milan,1997–98,Serie A,30,0,7,0,–,–,–,–,37,0
AC Milan,1998–99,Serie A,31,1,2,0,–,–,–,–,33,1
AC Milan,1999–00,Serie A,27,1,4,0,6,0,1,0,38,1
AC Milan,2000–01,Serie A,31,1,4,0,14,0,–,–,49,1
AC Milan,2001–02,Serie A,15,0,0,0,4,0,–,–,19,0
AC Milan,2002–03,Serie A,29,2,1,0,19,0,–,–,49,2
AC Milan,2003–04,Serie A,30,0,0,0,9,0,3,0,42,0
AC Milan,2004–05,Serie A,33,0,0,0,13,1,1,0,47,1
AC Milan,2005–06,Serie A,14,2,0,0,9,0,–,–,23,2
AC Milan,2006–07,Serie A,18,1,0,0,9,0,–,–,27,1
AC Milan,2007–08,Serie A,17,1,0,0,4,0,2,0,23,1
AC Milan,2008–09,Serie A,30,0,0,0,2,0,–,–,32,0
Career total,Career total,Career total,647,29,72,1,161,3,22,0,902,33
