# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,State league Apps,State league Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Santos,2009,Série A,33,10,12,3,3,1,—,—,—,—,—,—,48,14
Santos,2010,Série A,31,17,19,14,8,11,—,—,2,0,—,—,60,42
Santos,2011,Série A,21,13,11,4,—,—,—,—,13,6,2,1,47,24
Santos,2012,Série A,17,14,16,20,—,—,—,—,12,8,2,1,47,43
Santos,2013,Série A,1,0,18,12,4,1,—,—,—,—,—,—,23,13
Santos,Total,Total,103,54,76,53,15,13,0,0,27,14,4,2,225,136
Barcelona,2013–14,La Liga,26,9,—,—,3,1,—,—,10,4,2,1,41,15
Barcelona,2014–15,La Liga,33,22,—,—,6,7,—,—,12,10,—,—,51,39
Barcelona,2015–16,La Liga,34,24,—,—,5,4,—,—,9,3,1,0,49,31
Barcelona,2016–17,La Liga,30,13,—,—,6,3,—,—,9,4,0,0,45,20
Barcelona,Total,Total,123,68,0,0,20,15,0,0,40,21,3,1,186,105
Paris Saint-Germain,2017–18,Ligue 1,20,19,—,—,1,2,2,1,7,6,—,—,30,28
Paris Saint-Germain,2018–19,Ligue 1,17,15,—,—,3,2,1,1,6,5,1,0,28,23
Paris Saint-Germain,2019–20,Ligue 1,15,13,—,—,2,2,3,1,7,3,0,0,27,19
Paris Saint-Germain,2020–21,Ligue 1,18,9,—,—,3,1,—,—,9,6,1,1,31,17
Paris Saint-Germain,2021–22,Ligue 1,22,13,—,—,0,0,—,—,6,0,0,0,28,13
Paris Saint-Germain,2022–23,Ligue 1,20,13,—,—,2,1,—,—,6,2,1,2,29,18
Paris Saint-Germain,Total,Total,112,82,0,0,11,8,6,3,41,22,3,3,173,118
Al-Hilal,2023–24,Saudi Pro League,3,0,—,—,0,0,—,—,2,1,0,0,5,1
Al-Hilal,2024–25,Saudi Pro League,0,0,—,—,0,0,—,—,2,0,0,0,2,0
Al-Hilal,Total,Total,3,0,0,0,0,0,0,0,4,1,0,0,7,1
Santos,2025,Série A,13,3,7,3,1,0,—,—,—,—,—,—,21,6
Career total,Career total,Career total,354,207,83,57,47,36,6,3,112,58,10,6,612,366
